YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1997,1,10001,1,2,2,1,2,2,2,4,2,3,1988,2,2
1997,1,10002,1,4,5,2,1,1,2,4,1,3,1995,2,2
1997,1,10003,1,2,2,2,1,1,2,4,2,3,1992,2,2
1997,2,10003,6,2,2,2,1,1,1,4,2,3,1997,2,2
1997,1,10004,6,2,2,2,1,1,1,4,2,3,1993,2,2
1997,1,10005,2,3,3,1,1,1,1,4,1,3,1977,2,2
1997,1,10006,1,3,3,2,1,1,2,4,2,3,1991,2,2
1997,2,10006,1,2,2,2,1,1,2,4,2,3,1996,2,2
1997,1,10007,1,2,2,2,2,2,2,4,1,3,1990,2,2
1997,1,10008,1,4,4,2,1,1,2,4,2,3,1993,2,2
1997,2,10008,1,2,2,2,1,1,2,4,2,3,1992,2,2
1997,1,10009,6,4,4,2,1,1,1,4,2,3,1995,2,2
1997,2,10009,1,2,2,2,1,1,2,4,1,3,1994,2,2
1997,1,10010,4,3,3,1,1,1,2,4,2,3,1986,2,2
1997,2,10010,1,2,2,2,1,1,2,4,2,3,1986,2,2
1997,1,10011,1,2,2,2,2,2,2,4,2,3,1988,2,2
1997,2,10011,1,2,2,2,1,1,2,4,2,3,1995,2,2
1997,3,10011,1,2,2,2,2,2,2,4,2,3,1985,2,2
1997,1,10012,1,2,2,1,1,1,2,4,1,3,1994,2,2
1997,1,10013,2,2,2,1,1,1,2,4,1,3,1993,2,2
1997,1,10014,2,2,2,2,1,1,2,4,2,3,1995,2,1
1997,1,10015,6,2,2,2,1,1,1,4,1,3,1990,2,2
1997,2,10015,6,2,2,2,1,1,1,4,2,3,1996,2,2
1997,1,10016,1,3,3,1,1,1,2,4,1,3,1988,2,2
1997,1,10017,1,2,2,1,2,2,2,4,1,3,1991,2,2
1997,1,10018,1,2,2,2,2,2,2,4,2,3,1990,2,2
1997,1,10019,1,5,5,2,2,2,2,4,2,3,1985,2,2
1997,2,10019,6,3,3,2,1,1,1,4,2,3,1995,2,2
1997,1,10020,2,2,2,2,1,1,2,4,2,3,1995,2,2
1997,2,10020,1,2,2,2,1,1,2,4,2,3,1996,2,2
1997,1,10021,1,2,2,2,1,1,2,4,2,3,1996,2,2
1997,1,10022,1,3,2,2,1,1,2,4,1,3,1989,2,2
1997,1,10023,2,3,3,1,1,1,2,4,2,3,1984,2,2
1997,1,10024,1,2,2,2,2,2,2,4,1,3,1991,2,2
1997,1,10025,1,3,3,1,1,1,2,4,2,3,1979,2,2
1997,1,10026,1,3,3,1,2,2,2,4,1,3,1981,2,2
1997,1,10027,2,4,4,1,1,1,2,4,2,3,1989,2,2
1997,2,10027,6,2,2,2,1,1,1,4,2,3,1995,2,2
1997,1,10028,1,2,2,2,1,1,2,4,1,3,1994,2,2
1997,1,10029,1,3,3,2,1,1,2,4,1,3,1994,2,2
