ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1997,11,11,11,11,11,11,11,11,11,11
10002,1,1,1997,2,2,2,2,2,2,2,2,2,2
10003,1,1,1997,0,0,0,7,0,0,0,12,25,0
10003,2,1,1997,0,0,0,0,0,0,0,0,0,0
10004,1,1,1997,0,0,0,0,0,0,0,0,0,0
10005,1,1,1997,16,16,16,16,16,16,16,16,16,16
10006,1,1,1997,0,0,0,0,0,0,0,0,0,0
10006,2,1,1997,0,0,0,0,0,0,0,0,0,0
10007,1,1,1997,15,15,15,15,15,15,15,15,15,15
10008,1,1,1997,0,0,0,0,0,0,0,0,0,0
10008,2,1,1997,0,6,0,0,0,8,0,0,0,0
10009,1,1,1997,0,0,0,0,0,0,0,0,0,0
10009,2,1,1997,0,0,0,0,0,0,0,0,0,0
10010,1,1,1997,0,0,0,0,0,0,0,0,0,0
10010,2,1,1997,17,0,24,7,19,18,23,0,0,9
10011,1,1,1997,0,0,24,0,24,0,0,0,0,0
10011,2,1,1997,0,0,29,0,0,0,0,0,0,0
10011,3,1,1997,0,0,0,0,0,0,0,8,0,0
10012,1,1,1997,0,0,7,0,0,0,0,0,0,0
10013,1,1,1997,11,11,11,11,11,11,11,11,11,11
10014,1,1,1997,0,0,0,0,0,0,0,0,0,0
10015,1,1,1997,0,0,0,0,0,0,0,0,0,0
10015,2,1,1997,0,0,0,0,0,0,0,0,0,0
10016,1,1,1997,12,12,11,32,6,18,12,15,16,19
10017,1,1,1997,31,31,31,31,31,31,31,31,31,31
10018,1,1,1997,0,0,0,0,0,0,0,0,0,0
10019,1,1,1997,0,0,0,0,0,0,0,0,0,0
10019,2,1,1997,0,0,0,0,0,0,0,0,0,0
10020,1,1,1997,0,0,0,0,0,0,0,0,0,0
10020,2,1,1997,0,0,0,0,0,0,0,0,0,0
10021,1,1,1997,0,0,0,0,0,0,0,0,0,0
10022,1,1,1997,15,31,15,0,24,0,22,16,27,0
10023,1,1,1997,30,30,30,30,30,30,30,30,30,30
10024,0,1,1997,0,0,0,0,0,0,0,11,0,0
10024,1,1,1997,0,0,0,0,0,0,0,0,0,0
10025,1,1,1997,16,16,16,16,16,16,16,16,16,16
10026,1,1,1997,25,25,25,25,25,25,25,25,25,25
10027,1,1,1997,25,0,0,0,0,0,0,0,0,0
10027,2,1,1997,0,0,0,0,0,0,0,0,0,0
10028,1,1,1997,0,0,0,0,0,0,0,0,0,0
10029,1,1,1997,0,0,0,0,0,0,0,0,0,0
10030,1,1,1997,0,0,0,0,0,0,0,0,0,0
10030,2,1,1997,0,0,0,0,0,0,0,0,0,0
10031,1,1,1997,0,0,0,0,0,0,0,0,0,0
10031,2,1,1997,0,0,0,0,0,0,0,0,0,0
10032,1,1,1997,20,19,2,6,3,8,5,0,9,12
10033,1,1,1997,23,23,23,23,23,23,23,23,23,23
10033,2,1,1997,0,0,0,0,0,0,0,0,0,0
10034,1,1,1997,15,15,15,15,15,15,15,15,15,15
10035,1,1,1997,15,15,15,12,12,0,14,12,23,20
10035,2,1,1997,0,0,0,0,0,0,0,0,0,0
10036,1,1,1997,9,8,25,20,37,0,0,30,24,9
10037,1,1,1997,22,0,0,0,12,17,0,0,0,0
10038,1,1,1997,0,0,0,0,0,0,0,0,0,0
10038,2,1,1997,0,0,0,0,15,0,0,0,8,0
10038,3,1,1997,3,0,0,0,0,0,0,0,0,0
10039,1,1,1997,26,51,11,25,10,16,16,17,26,23
10040,1,1,1997,22,22,22,22,22,22,22,22,22,22
10041,1,1,1997,0,0,0,0,0,0,0,0,0,0
10041,2,1,1997,0,0,0,0,0,0,0,0,0,0
10042,0,1,1997,0,0,0,0,0,0,0,0,0,0
10042,1,1,1997,0,0,0,9,0,0,0,0,0,0
10042,2,1,1997,16,0,0,0,0,0,0,0,0,0
10043,1,1,1997,0,0,0,0,0,0,0,0,0,0
10044,1,1,1997,0,0,0,0,0,0,0,0,0,0
10044,2,1,1997,0,0,0,0,0,0,0,0,0,0
10044,3,1,1997,0,0,0,0,0,0,0,0,0,0
10045,1,1,1997,0,0,0,0,0,0,0,0,0,0
10045,2,1,1997,0,0,0,0,0,0,0,0,0,0
10046,1,1,1997,14,14,14,14,14,14,14,14,14,14
10047,0,1,1997,17,17,17,17,17,17,17,17,17,17
10047,1,1,1997,0,0,0,0,0,0,0,0,0,0
10048,0,1,1997,0,0,0,0,0,0,0,0,0,0
10048,1,1,1997,0,0,0,0,0,0,0,0,0,0
10049,1,1,1997,0,11,15,0,0,0,0,0,5,0
10050,1,1,1997,0,0,0,0,0,0,0,0,0,0
10050,2,1,1997,0,0,0,0,0,0,0,0,0,0
10051,0,1,1997,0,0,0,0,0,0,0,0,0,0
10051,1,1,1997,11,0,0,0,0,0,0,0,0,0
