ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1996,0,16,0,0,21,0,0,0,0,0
10001,2,1,1996,0,0,0,0,0,31,0,0,0,0
10002,1,1,1996,0,0,14,0,0,0,0,26,19,17
10002,2,1,1996,25,0,0,15,0,0,0,0,0,0
10003,1,1,1996,0,0,0,0,0,0,0,0,0,0
10003,2,1,1996,0,0,0,0,0,0,0,0,0,0
10004,1,1,1996,16,16,16,16,16,16,16,16,16,16
10005,1,1,1996,35,18,19,23,28,12,15,9,15,34
10006,0,1,1996,24,24,24,24,24,24,24,24,24,24
10006,1,1,1996,0,0,0,0,0,0,0,0,0,0
10007,1,1,1996,9,9,9,9,9,9,9,9,9,9
10008,1,1,1996,0,0,0,0,0,0,0,0,0,0
10008,2,1,1996,0,0,0,9,0,0,0,0,0,0
10008,3,1,1996,0,0,0,0,0,0,0,0,0,0
10009,1,1,1996,0,0,0,0,0,0,0,0,0,0
10009,2,1,1996,0,0,7,0,0,0,0,0,21,0
10010,1,1,1996,19,10,29,9,32,12,14,18,15,15
10011,1,1,1996,0,0,0,0,0,0,0,0,0,0
10012,1,1,1996,0,0,0,0,0,0,0,0,0,0
10014,1,1,1996,0,0,0,0,10,0,0,0,0,0
10015,1,1,1996,0,11,0,0,0,0,16,19,0,15
10015,2,1,1996,0,0,0,0,0,0,0,0,0,0
10016,1,1,1996,0,0,0,0,0,0,0,0,0,0
10016,2,1,1996,0,0,0,0,0,12,0,0,0,0
10017,1,1,1996,0,0,0,0,0,0,0,0,0,0
10017,2,1,1996,0,0,0,0,0,0,0,0,0,0
10018,1,1,1996,11,0,0,16,0,0,0,0,0,0
10019,1,1,1996,13,28,16,30,23,15,13,18,10,27
10020,1,1,1996,0,0,0,0,0,0,0,0,0,0
10021,1,1,1996,0,0,0,0,0,0,0,0,0,0
10022,1,1,1996,0,0,0,0,0,0,0,0,0,0
10023,1,1,1996,0,0,0,0,0,0,0,0,0,0
10024,1,1,1996,12,6,8,15,23,7,15,19,16,19
10025,1,1,1996,0,0,0,0,0,0,0,0,0,0
10026,1,1,1996,0,0,0,0,0,17,0,0,0,3
10026,2,1,1996,0,0,0,0,0,0,0,0,0,0
10027,1,1,1996,0,0,0,0,0,0,0,0,0,0
10027,2,1,1996,0,0,0,0,0,0,0,0,0,0
10028,1,1,1996,10,0,12,13,12,24,23,25,14,19
10029,1,1,1996,0,0,0,0,0,0,0,0,0,0
10029,2,1,1996,13,0,0,0,0,0,0,0,0,21
10030,1,1,1996,0,0,10,0,0,11,9,0,0,0
10030,2,1,1996,0,0,0,0,0,0,0,0,0,0
10030,3,1,1996,0,0,0,0,0,0,0,0,0,0
10031,1,1,1996,0,0,0,0,9,12,0,12,0,0
10031,2,1,1996,2,2,2,2,2,2,2,2,2,2
10032,0,1,1996,0,0,0,0,0,0,0,0,0,0
10032,1,1,1996,0,0,0,0,0,0,0,0,0,0
10033,1,1,1996,0,0,0,0,0,0,0,0,8,17
10033,2,1,1996,0,0,0,0,0,0,0,0,0,0
10034,1,1,1996,0,0,0,0,0,0,0,0,0,0
10034,2,1,1996,0,0,0,0,0,0,18,0,0,0
10035,1,1,1996,19,19,19,19,19,19,19,19,19,19
10035,2,1,1996,0,0,0,0,0,0,24,13,0,0
10035,3,1,1996,0,0,0,0,0,0,0,0,0,0
10036,1,1,1996,0,0,0,0,0,0,0,0,0,0
10036,2,1,1996,0,0,0,0,0,0,0,0,0,0
10037,1,1,1996,0,0,0,0,0,0,0,0,0,0
10037,2,1,1996,0,0,0,0,0,0,0,0,0,0
10037,3,1,1996,0,0,0,0,0,0,0,0,0,0
10037,4,1,1996,0,0,0,9,0,0,0,0,0,0
10037,5,1,1996,0,0,0,0,0,0,0,0,0,0
10038,1,1,1996,0,17,0,22,0,0,17,0,0,0
10038,2,1,1996,0,0,0,0,0,0,0,0,0,0
10039,1,1,1996,0,0,0,0,0,0,0,0,0,0
10039,2,1,1996,0,0,16,0,0,0,42,0,0,13
10039,3,1,1996,19,0,0,0,0,0,0,0,0,0
10040,1,1,1996,0,0,0,0,0,0,0,0,0,0
10041,1,1,1996,17,11,16,21,20,6,9,26,12,20
10042,1,1,1996,0,0,0,0,9,21,21,7,11,17
10043,1,1,1996,0,0,0,0,0,0,0,0,19,0
10043,2,1,1996,0,0,0,0,0,0,0,0,0,0
10044,1,1,1996,0,0,0,0,0,0,0,0,0,0
10044,2,1,1996,0,0,0,0,0,0,0,0,0,0
10045,1,1,1996,8,8,8,8,8,8,8,8,8,8
10046,1,1,1996,0,0,0,0,0,0,0,0,0,0
10046,2,1,1996,0,0,0,0,0,0,0,0,0,0
10047,1,1,1996,0,0,0,0,0,0,0,0,0,0
10048,1,1,1996,15,0,0,26,0,17,0,0,0,0
10048,2,1,1996,0,0,0,0,0,0,0,0,0,0
10048,3,1,1996,0,0,0,0,0,0,0,0,0,0
10049,0,1,1996,33,33,33,33,33,33,33,33,33,33
10049,1,1,1996,0,0,0,0,0,0,0,0,0,0
10050,1,1,1996,0,0,0,0,0,0,0,0,0,0
10051,1,1,1996,0,0,0,0,0,0,0,0,0,0
10051,2,1,1996,0,0,0,0,0,0,0,0,0,0
10052,1,1,1996,0,0,0,0,0,0,0,0,0,0
10052,2,1,1996,0,0,0,0,0,0,0,0,0,0
10053,1,1,1996,0,0,0,7,20,0,0,0,0,14
10054,1,1,1996,24,24,24,24,24,24,24,24,24,24
10055,1,1,1996,0,0,0,0,0,0,0,0,0,0
10055,2,1,1996,0,0,0,0,0,0,0,0,0,0
10055,3,1,1996,0,0,0,0,0,0,0,0,0,0
10056,1,1,1996,0,0,0,0,0,0,0,0,0,0
10056,2,1,1996,0,0,0,0,0,0,0,0,0,0
10057,1,1,1996,0,0,0,0,0,0,0,0,0,0
10057,2,1,1996,0,0,0,0,22,0,0,0,0,0
10057,3,1,1996,0,0,0,0,0,0,0,0,0,0
10058,1,1,1996,23,23,23,23,23,23,23,23,23,23
10058,2,1,1996,0,0,0,0,0,0,0,0,0,0
10059,0,1,1996,21,0,0,13,0,0,0,0,0,0
10059,1,1,1996,6,9,0,0,0,0,7,0,11,15
10060,1,1,1996,20,20,20,20,20,20,20,20,20,20
10061,0,1,1996,0,0,0,0,0,0,0,0,0,0
10061,1,1,1996,0,0,0,0,0,0,0,0,0,0
10062,1,1,1996,0,0,0,0,0,0,0,0,10,0
10063,1,1,1996,16,30,34,21,0,18,24,25,25,18
10063,2,1,1996,0,0,0,5,0,0,0,0,0,0
10064,1,1,1996,0,0,0,0,0,0,0,0,0,0
10064,2,1,1996,0,0,0,0,0,0,0,0,0,0
10065,1,1,1996,0,0,0,0,0,0,0,0,0,0
10066,1,1,1996,0,0,0,0,0,0,0,0,0,0
10067,1,1,1996,13,27,19,19,46,25,15,14,22,28
10068,0,1,1996,19,19,19,19,19,19,19,19,19,19
10068,1,1,1996,0,0,0,0,0,0,0,0,0,0
10069,1,1,1996,3,20,23,7,21,10,18,23,12,12
10070,0,1,1996,14,37,18,35,0,0,23,21,21,0
10070,1,1,1996,0,0,0,0,0,0,0,0,0,0
10071,1,1,1996,0,0,9,0,0,0,16,0,0,0
10072,1,1,1996,13,22,33,12,21,13,0,24,0,19
10073,1,1,1996,0,0,0,0,0,0,0,0,0,0
10073,2,1,1996,0,0,0,0,0,0,0,0,0,0
10074,1,1,1996,0,0,0,0,0,0,0,0,0,0
