YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1996,1,10001,1,3,3,2,2,2,2,4,2,3,1987,2,2
1996,2,10001,2,2,2,2,1,1,2,4,2,3,1988,2,2
1996,1,10002,1,2,2,2,1,1,2,4,2,3,1995,2,2
1996,2,10002,1,2,2,2,1,1,2,4,2,3,1986,2,2
1996,1,10003,1,2,2,2,2,2,2,4,2,3,1986,2,2
1996,2,10003,4,2,2,2,1,1,2,4,2,3,1974,2,2
1996,1,10004,1,2,2,2,1,1,2,4,1,3,1987,2,2
1996,1,10005,2,2,2,2,1,1,2,4,1,3,1972,2,2
1996,1,10006,1,2,2,2,1,1,2,4,2,3,1995,2,2
1996,1,10007,1,6,6,1,1,1,2,4,2,3,1996,2,2
1996,1,10008,6,2,2,1,1,1,1,4,2,3,1996,2,2
1996,2,10008,1,5,5,2,1,1,2,4,2,3,1986,2,2
1996,3,10008,2,2,2,2,1,1,1,4,2,3,1986,2,2
1996,1,10009,6,2,2,2,1,1,1,4,2,3,1996,2,2
1996,2,10009,1,2,2,2,1,1,2,4,2,3,1996,2,2
1996,1,10010,2,2,2,2,2,2,2,4,2,3,1977,2,2
1996,1,10011,1,5,5,2,1,1,2,4,1,3,1994,2,2
1996,1,10012,1,3,3,2,1,1,2,4,1,3,1989,2,2
1996,1,10014,1,2,2,2,1,1,2,4,2,3,1989,2,2
1996,1,10015,2,4,4,1,1,1,2,4,2,3,1995,2,2
1996,2,10015,1,2,2,2,1,1,2,4,2,3,1994,2,2
1996,1,10016,2,2,2,2,1,1,2,4,1,3,1995,2,2
1996,2,10016,1,4,4,2,1,1,2,4,2,3,1990,2,2
1996,1,10017,1,2,2,2,1,1,2,4,2,3,1994,2,2
1996,2,10017,2,2,2,2,1,1,1,4,2,3,1995,2,2
1996,1,10018,4,1,1,1,1,1,2,4,1,3,1988,2,2
1996,1,10019,2,3,3,1,2,2,2,4,2,3,1979,2,2
1996,1,10020,2,3,3,2,1,1,2,4,1,3,1982,2,2
1996,1,10021,1,3,3,2,1,1,2,4,1,3,1995,2,2
1996,1,10022,1,3,3,2,2,2,2,4,2,3,1979,2,2
1996,1,10023,1,2,2,1,1,1,2,4,1,3,1995,2,2
1996,1,10024,1,3,3,1,1,1,2,4,1,3,1986,2,2
1996,1,10025,3,2,2,1,1,1,2,4,1,3,1993,2,2
1996,1,10026,4,2,2,2,1,1,2,4,2,3,1984,2,2
1996,2,10026,6,4,4,2,1,1,1,4,2,3,1995,2,2
1996,1,10027,2,2,2,2,1,1,2,4,2,3,1986,2,2
1996,2,10027,2,2,2,2,1,1,2,4,2,3,1993,2,2
1996,1,10028,3,1,1,1,1,1,2,4,2,3,1995,2,2
1996,1,10029,2,2,2,2,1,1,2,4,2,3,1993,2,2
1996,2,10029,6,4,4,2,1,1,1,4,2,3,1995,2,2
1996,1,10030,1,5,5,2,2,2,2,4,2,3,1985,2,2
1996,2,10030,1,5,5,2,1,1,2,4,2,3,1983,2,2
1996,3,10030,6,2,2,2,3,3,3,4,2,3,1994,2,2
1996,1,10031,1,3,3,2,1,1,2,4,1,3,1983,2,2
1996,2,10031,2,2,2,2,1,1,1,4,1,3,1993,2,2
1996,1,10032,1,2,2,2,1,1,2,4,2,3,1995,2,2
1996,1,10033,1,5,5,2,2,2,2,4,2,3,1975,2,2
1996,2,10033,6,2,2,2,1,1,1,4,2,3,1994,2,2
1996,1,10034,6,4,4,2,1,1,1,4,2,3,1991,2,2
1996,2,10034,2,2,2,2,1,1,2,4,2,3,1994,2,2
1996,1,10035,5,4,4,2,1,1,2,4,2,3,1977,2,2
1996,2,10035,1,2,2,2,2,2,2,4,2,3,1978,2,2
1996,3,10035,2,4,4,2,1,1,2,4,2,3,1991,2,2
1996,1,10036,1,3,3,2,2,2,2,4,1,3,1978,2,2
1996,2,10036,1,2,2,2,1,1,2,4,2,3,1992,2,2
1996,1,10037,6,2,2,2,1,1,1,4,2,3,1993,2,2
1996,2,10037,1,4,4,2,1,1,1,4,2,3,1994,2,2
1996,3,10037,1,3,3,2,1,1,1,4,2,3,1986,2,2
1996,4,10037,1,2,2,2,1,1,2,4,2,3,1995,2,2
1996,5,10037,2,4,4,2,1,1,1,4,2,3,1992,2,2
1996,1,10038,1,2,2,2,2,2,2,4,1,3,1984,2,2
1996,2,10038,2,2,2,1,1,1,2,4,2,3,1978,2,2
1996,1,10039,3,2,2,2,1,1,2,4,2,3,1993,2,2
1996,2,10039,1,3,3,2,1,1,2,4,2,3,1983,2,2
1996,3,10039,1,2,2,2,2,2,2,4,2,3,1979,2,2
1996,1,10040,2,2,2,2,1,1,2,4,2,3,1982,2,2
1996,1,10041,2,3,3,1,1,1,2,4,1,3,1989,2,2
1996,1,10042,1,2,2,1,1,1,2,4,2,3,1985,2,2
1996,1,10043,1,4,4,2,2,2,2,4,2,3,1989,2,2
1996,2,10043,6,2,2,2,1,1,1,4,2,3,1987,2,2
1996,1,10044,2,5,5,2,1,1,2,4,2,3,1991,2,2
1996,2,10044,1,2,2,2,2,2,2,4,2,3,1995,2,2
1996,1,10045,1,5,5,1,1,1,2,4,2,3,1967,2,2
1996,1,10046,4,2,2,1,1,1,2,4,1,3,1984,2,2
1996,2,10046,1,5,5,2,1,1,2,4,2,3,1989,2,2
1996,1,10047,4,2,2,1,1,1,2,4,2,3,1993,1,2
1996,1,10048,7,2,2,2,4,1,2,1,2,3,1990,1,2
1996,2,10048,7,4,4,2,4,1,1,1,2,3,1993,2,2
1996,3,10048,7,3,3,2,4,1,2,1,2,3,1989,2,2
1996,1,10049,1,2,2,2,1,1,2,4,2,3,1985,2,2
1996,1,10050,1,5,5,2,2,2,2,4,1,3,1988,2,2
1996,1,10051,9,3,3,2,2,2,2,4,2,3,1980,2,2
1996,2,10051,2,2,2,2,1,1,2,4,2,3,1994,2,2
1996,1,10052,2,2,2,2,2,2,2,4,2,3,1987,1,2
1996,2,10052,6,4,4,2,1,1,1,4,2,3,1990,2,2
1996,1,10053,1,3,3,1,1,1,2,4,2,3,1992,2,2
1996,1,10054,1,2,2,1,1,1,2,4,1,3,1992,2,2
1996,1,10055,1,5,5,2,1,1,2,4,2,3,1991,2,2
1996,2,10055,3,2,2,2,1,1,2,4,2,3,1983,2,2
1996,3,10055,6,3,3,2,1,1,1,4,2,3,1990,2,2
1996,1,10056,1,3,3,2,1,1,2,4,2,3,1977,2,2
1996,2,10056,6,2,2,2,1,1,1,4,2,3,1988,2,2
1996,1,10057,6,2,2,1,1,1,1,4,1,3,1990,2,2
1996,2,10057,1,4,4,2,2,2,2,4,2,3,1980,2,2
1996,3,10057,1,2,2,2,1,1,2,4,2,3,1995,2,2
1996,1,10058,1,2,2,2,2,2,2,4,2,3,1979,2,2
1996,2,10058,6,3,3,2,1,1,1,4,2,3,1995,2,2
1996,1,10059,1,2,2,2,2,2,2,4,2,3,1981,2,2
1996,1,10060,2,1,1,1,1,1,2,4,1,3,1991,2,2
1996,1,10061,1,2,2,2,1,1,2,4,2,3,1989,2,2
1996,1,10062,1,2,2,2,2,2,2,4,1,3,1989,2,2
1996,1,10063,1,2,2,2,2,2,2,4,1,3,1986,2,2
1996,2,10063,2,2,2,2,1,1,2,4,2,3,1986,2,2
1996,1,10064,2,2,2,2,1,1,2,4,2,3,1983,2,2
1996,2,10064,6,3,3,2,1,1,1,4,2,3,1987,2,2
1996,1,10065,1,2,2,1,2,2,2,4,2,3,1986,2,1
1996,1,10066,2,1,1,1,1,1,2,4,1,3,1976,2,2
1996,1,10067,1,1,1,1,1,1,2,4,1,3,1978,2,2
1996,1,10068,1,2,2,2,1,1,2,4,2,3,1994,2,2
1996,1,10069,1,5,5,1,1,1,2,4,1,3,1989,2,2
1996,1,10070,1,2,2,2,1,1,2,4,2,3,1986,2,2
1996,1,10071,3,1,1,1,1,1,2,4,2,3,1987,2,2
1996,1,10072,1,2,2,2,1,1,2,4,2,3,1995,2,2
1996,1,10073,1,3,3,2,2,2,2,4,1,3,1988,2,2
1996,2,10073,7,2,2,2,4,1,2,1,2,3,1981,2,2
1996,1,10074,1,2,2,1,1,1,2,4,2,3,1995,2,2
1996,1,10075,3,2,2,2,1,1,2,4,2,3,1996,2,2
1996,1,10076,1,2,2,2,1,1,2,4,2,3,1981,2,2
1996,2,10076,1,3,3,2,1,1,2,4,2,3,1993,2,2
1996,1,10077,1,3,3,2,2,2,2,4,1,3,1990,2,2
1996,1,10078,1,2,2,1,1,1,1,4,2,3,1985,2,2
1996,1,10079,1,1,1,1,1,1,2,4,1,3,1978,2,2
1996,1,10080,2,1,1,1,2,2,2,4,2,3,1986,2,2
1996,1,10081,2,2,2,1,1,1,2,4,2,3,1987,2,2
1996,1,10082,1,2,2,2,1,1,2,4,1,3,1988,2,2
1996,1,10083,2,2,2,1,3,3,3,4,2,3,1990,2,2
1996,1,10084,2,2,2,2,3,3,3,4,2,3,1993,2,2
1996,2,10084,1,2,2,2,1,1,2,4,2,3,1994,2,2
1996,1,10085,1,2,2,2,1,1,2,4,2,3,1989,2,2
1996,1,10086,2,3,3,1,1,1,2,4,1,3,1992,2,2
1996,1,10087,1,2,2,2,1,1,2,4,2,3,1987,2,2
1996,2,10087,2,2,2,1,1,1,2,4,2,3,1986,2,2
