YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1994,1,10001,1,2,2,2,1,1,2,4,2,3,1979,2,2
1994,2,10001,1,2,2,2,1,1,2,4,2,3,1986,2,2
1994,3,10001,2,2,2,2,1,1,2,4,2,3,1992,2,2
1994,1,10002,1,2,2,1,1,1,2,4,2,3,1991,2,2
1994,1,10003,2,3,3,2,1,1,1,4,2,3,1991,2,2
1994,2,10003,7,2,2,2,4,1,2,1,2,3,1980,2,2
1994,1,10004,1,3,3,1,1,1,2,4,2,3,1986,2,1
1994,1,10005,2,2,2,1,1,1,2,4,2,3,1984,2,2
1994,1,10006,2,2,2,2,1,1,2,4,2,3,1982,2,2
1994,2,10006,2,2,2,2,1,1,2,4,2,3,1991,2,2
1994,1,10007,2,4,4,2,1,1,2,4,2,3,1990,2,2
1994,2,10007,2,2,2,2,2,2,2,4,2,3,1973,2,2
1994,1,10008,1,2,2,2,1,1,2,4,2,3,1977,2,2
1994,2,10008,1,3,3,2,1,1,2,4,2,3,1993,2,2
1994,1,10009,1,3,3,2,1,1,2,4,2,3,1986,2,1
1994,1,10010,2,5,5,2,1,1,2,4,2,3,1967,2,2
1994,2,10010,1,2,2,2,2,2,2,4,2,3,1986,2,2
1994,1,10013,2,2,2,1,1,1,2,4,1,3,1990,2,2
1994,1,10014,1,2,2,2,1,1,2,4,2,3,1981,2,2
1994,1,10015,1,2,2,2,2,2,2,4,2,3,1980,2,2
1994,2,10015,1,2,2,2,1,1,2,4,2,3,1987,2,2
1994,1,10016,4,2,2,2,1,1,2,4,2,3,1990,2,2
1994,2,10016,1,2,2,2,1,1,2,4,2,3,1992,2,2
1994,1,10017,1,4,4,1,2,2,2,4,1,3,1989,2,2
1994,1,10018,1,5,5,2,1,1,2,4,1,3,1990,2,2
1994,1,10019,2,3,3,2,1,1,2,4,2,3,1969,2,2
1994,2,10019,2,2,2,2,1,1,2,4,2,3,1990,2,2
1994,1,10020,1,2,3,2,1,1,2,4,2,3,1983,2,2
1994,1,10021,1,5,5,1,1,1,2,4,1,3,1993,2,2
1994,1,10022,1,2,2,2,1,1,2,4,2,3,1982,2,2
1994,2,10022,1,2,2,2,1,1,2,4,2,3,1986,2,2
1994,1,10023,1,2,2,2,1,1,2,4,2,3,1988,2,2
1994,2,10023,4,3,3,1,1,1,1,4,2,3,1987,2,2
1994,1,10024,1,2,2,2,1,1,2,4,2,3,1986,2,1
1994,2,10024,1,2,2,2,1,1,2,4,2,3,1983,2,2
1994,1,10025,1,1,1,1,1,1,1,4,2,3,1981,2,2
1994,1,10026,1,1,1,1,1,1,2,4,2,3,1987,2,2
1994,1,10027,2,1,1,1,1,1,2,4,1,3,1993,2,2
