ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1994,10,10,10,10,10,10,10,10,10,10
10002,1994,0,0,0,0,0,0,0,0,0,0
10003,1994,0,0,0,0,0,0,0,0,0,0
10004,1994,0,24,17,17,21,22,22,34,16,0
10005,1994,20,20,20,20,20,20,20,20,20,20
10006,1994,0,0,0,0,0,0,0,0,0,0
10007,1994,23,23,23,23,23,23,23,23,23,23
10008,1994,8,0,0,0,0,0,0,0,0,0
10009,1994,0,0,0,0,0,0,0,0,0,0
10010,1994,0,0,0,0,0,0,0,0,0,0
10013,1994,35,16,33,16,21,23,18,7,22,27
10014,1994,0,0,0,0,0,0,0,0,0,0
10015,1994,14,13,20,6,31,43,14,14,10,8
10016,1994,0,0,0,0,0,0,0,0,0,12
10017,1994,8,8,8,8,8,8,8,8,8,8
10018,1994,25,25,25,25,25,25,25,25,25,25
10019,1994,0,0,0,0,0,0,0,0,0,0
10020,1994,0,0,0,0,0,0,0,0,0,0
10021,1994,0,34,0,0,0,17,0,24,0,30
10022,1994,0,0,0,0,15,0,10,0,0,0
10023,1994,20,14,0,14,20,28,0,0,16,0
10024,1994,8,8,8,8,8,8,8,8,8,8
10025,1994,0,0,0,0,0,0,0,13,0,0
10026,1994,0,0,0,0,0,0,0,0,0,3
10027,1994,3,22,0,8,23,30,22,0,18,28
10028,1994,0,0,0,0,0,0,0,0,0,0
10029,1994,19,19,19,19,19,19,19,19,19,19
10030,1994,19,19,19,19,19,19,19,19,19,19
10031,1994,13,10,12,20,21,21,11,28,27,10
10032,1994,0,0,0,0,0,0,0,0,0,0
10033,1994,45,45,45,45,45,45,45,45,45,45
10034,1994,0,0,0,0,0,0,0,0,0,0
10035,1994,18,18,18,18,18,18,18,18,18,18
10036,1994,0,0,0,0,0,0,0,0,0,0
10037,1994,0,0,0,0,0,0,0,0,0,0
10038,1994,19,14,18,14,0,15,0,14,0,0
10039,1994,0,0,8,0,0,0,5,0,0,0
10040,1994,24,24,24,24,24,24,24,24,24,24
10041,1994,0,0,0,0,0,0,0,0,0,0
10042,1994,17,0,18,21,0,0,0,0,0,24
10043,1994,11,19,9,8,0,12,5,0,0,9
10044,1994,13,12,4,12,13,6,12,20,15,22
10045,1994,18,10,14,9,26,18,12,24,26,15
10046,1994,7,0,16,0,13,28,0,0,0,0
10047,1994,2,2,2,2,2,2,2,2,2,2
10048,1994,0,0,0,0,18,0,0,0,0,22
10049,1994,26,26,26,26,26,26,26,26,26,26
10050,1994,0,0,0,0,0,0,12,0,0,0
10051,1994,17,0,0,5,0,0,0,0,0,36
10052,1994,0,0,0,0,0,0,0,0,0,0
10053,1994,0,0,0,0,0,15,8,17,10,0
