ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1994,0,0,0,0,0,0,0,0,0,0
10001,2,1,1994,10,10,10,10,10,10,10,10,10,10
10001,3,1,1994,0,0,0,0,0,0,0,0,0,0
10002,1,1,1994,0,0,0,0,0,0,0,0,0,0
10003,1,1,1994,0,0,0,0,0,0,0,0,0,0
10003,2,1,1994,0,0,0,0,0,0,0,0,0,0
10004,1,1,1994,0,24,17,17,21,22,22,34,16,0
10005,1,1,1994,20,20,20,20,20,20,20,20,20,20
10006,1,1,1994,0,0,0,0,0,0,0,0,0,0
10006,2,1,1994,0,0,0,0,0,0,0,0,0,0
10007,1,1,1994,0,0,0,0,0,0,0,0,0,0
10007,2,1,1994,23,23,23,23,23,23,23,23,23,23
10008,1,1,1994,8,0,0,0,0,0,0,0,0,0
10008,2,1,1994,0,0,0,0,0,0,0,0,0,0
10009,1,1,1994,0,0,0,0,0,0,0,0,0,0
10010,1,1,1994,0,0,0,0,0,0,0,0,0,0
10010,2,1,1994,0,0,0,0,0,0,0,0,0,0
10013,1,1,1994,35,16,33,16,21,23,18,7,22,27
10014,1,1,1994,0,0,0,0,0,0,0,0,0,0
10015,1,1,1994,14,13,19,6,31,43,14,14,10,8
10015,2,1,1994,0,0,20,0,0,7,0,0,0,0
10016,1,1,1994,0,0,0,0,0,0,0,0,0,0
10016,2,1,1994,0,0,0,0,0,0,0,0,0,12
10017,1,1,1994,8,8,8,8,8,8,8,8,8,8
10018,1,1,1994,25,25,25,25,25,25,25,25,25,25
10019,1,1,1994,0,0,0,0,0,0,0,0,0,0
10019,2,1,1994,0,0,0,0,0,0,0,0,0,0
10020,1,1,1994,0,0,0,0,0,0,0,0,0,0
10021,1,1,1994,0,34,0,0,0,17,0,24,0,30
10022,1,1,1994,0,0,0,0,0,0,0,0,0,0
10022,2,1,1994,0,0,0,0,15,0,10,0,0,0
10023,1,1,1994,0,0,0,0,0,28,0,0,0,0
10023,2,1,1994,20,14,0,14,20,0,0,0,16,0
10024,1,1,1994,8,8,8,8,8,8,8,8,8,8
10024,2,1,1994,0,0,0,0,0,0,0,0,0,0
10025,1,1,1994,0,0,0,0,0,0,0,13,0,0
10026,1,1,1994,0,0,0,0,0,0,0,0,0,3
10027,1,1,1994,3,22,0,8,23,30,22,0,18,28
10028,1,1,1994,0,0,0,0,0,0,0,0,0,0
10028,2,1,1994,0,0,0,0,0,0,0,0,0,0
10029,1,1,1994,19,19,19,19,19,19,19,19,19,19
10029,2,1,1994,0,0,0,0,0,0,0,0,0,0
10030,1,1,1994,19,19,19,19,19,19,19,19,19,19
