YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1992,1,10001,1,2,2,2,1,1,3,4,2,3,1985,2,2
1992,1,10002,2,1,1,1,1,1,3,4,1,3,1991,2,2
1992,1,10003,1,2,2,2,2,2,3,4,2,3,1986,2,2
1992,2,10003,1,2,2,2,1,1,3,4,2,3,1989,2,2
1992,3,10003,1,5,5,2,1,1,3,4,2,3,1988,2,2
1992,1,10004,1,2,2,2,1,1,3,4,1,3,1990,2,2
1992,2,10004,1,2,2,2,1,1,3,4,2,3,1980,2,2
1992,1,10005,2,2,2,2,1,1,3,4,2,3,1976,2,2
1992,1,10006,1,2,2,2,1,1,3,4,2,3,1979,2,2
1992,2,10006,1,5,5,2,1,1,3,4,2,3,1984,2,2
1992,1,10007,6,4,4,2,1,1,3,4,2,3,1986,2,2
1992,2,10007,1,2,2,2,1,1,3,4,2,3,1984,2,2
1992,1,10008,1,1,1,1,1,1,3,4,2,3,1992,2,2
1992,1,10009,2,1,1,1,1,1,3,4,1,3,1988,2,2
1992,1,10010,2,2,2,2,1,1,3,4,1,3,1979,2,2
1992,1,10011,6,2,2,2,1,1,3,4,2,3,1992,2,2
1992,2,10011,1,3,3,2,1,1,3,4,2,3,1983,2,2
1992,1,10012,3,7,7,1,1,1,3,4,1,3,1988,2,2
1992,1,10013,1,5,5,2,1,1,3,4,2,3,1977,2,2
1992,1,10014,2,2,2,2,1,1,3,4,2,3,1986,2,2
1992,2,10014,6,2,2,2,1,1,3,4,2,3,1990,2,2
1992,1,10015,2,1,1,1,2,2,3,4,1,3,1979,2,2
1992,1,10016,6,2,2,2,1,1,3,4,2,3,1987,2,2
1992,2,10016,1,2,2,2,1,1,3,4,2,3,1986,2,2
1992,1,10017,1,3,3,2,1,1,3,4,2,3,1983,2,2
1992,1,10018,1,2,2,2,1,1,3,4,2,3,1983,2,2
1992,2,10018,2,2,2,2,1,1,3,4,2,3,1989,2,2
1992,1,10019,2,2,2,2,1,1,3,4,1,3,1987,2,2
1992,2,10019,3,2,2,2,1,1,3,4,1,3,1988,2,2
1992,1,10020,1,5,5,2,1,1,3,4,1,3,1987,2,2
1992,1,10021,1,2,2,2,1,1,3,4,2,3,1987,2,2
1992,2,10021,3,2,2,2,1,1,3,4,2,3,1987,2,2
1992,1,10022,1,5,5,2,1,1,3,4,1,3,1987,2,2
1992,1,10023,1,2,2,2,1,1,3,4,2,3,1977,2,2
1992,1,10024,1,3,3,2,2,2,3,4,2,3,1973,2,2
1992,1,10025,1,2,2,2,1,1,3,4,1,3,1981,2,2
1992,1,10026,2,1,1,1,1,1,3,4,1,3,1984,2,2
1992,1,10027,1,2,2,1,2,2,3,4,1,3,1986,2,2
1992,2,10027,4,2,2,2,1,1,3,4,2,3,1977,2,2
1992,1,10028,1,2,2,2,1,1,3,4,2,3,1981,2,2
1992,2,10028,2,3,3,2,2,2,3,4,2,3,1987,2,2
1992,1,10029,1,2,2,2,1,1,3,4,2,3,1985,2,2
1992,1,10030,1,5,5,2,2,2,3,4,2,3,1980,2,2
1992,1,10031,1,2,2,2,1,1,3,4,2,3,1981,2,2
1992,2,10031,1,2,2,2,2,2,3,4,2,3,1979,2,2
1992,1,10032,6,6,6,2,3,3,3,4,2,3,9999,2,2
1992,1,10033,6,2,2,2,1,1,3,4,2,3,1987,2,2
1992,2,10033,2,4,4,2,1,1,3,4,2,3,1990,2,2
1992,3,10033,1,5,5,2,1,1,3,4,2,3,1989,2,2
1992,4,10033,6,2,2,2,1,1,3,4,2,3,1991,2,2
1992,1,10034,1,5,5,2,1,1,3,4,1,3,1982,2,2
1992,1,10035,1,2,2,2,1,1,3,4,1,3,1983,2,2
1992,1,10036,1,2,5,2,2,2,3,4,1,3,1977,2,2
1992,2,10036,1,5,5,2,1,1,3,4,2,3,1991,2,2
1992,1,10037,1,2,2,2,1,1,3,4,2,3,1985,2,2
1992,2,10037,6,4,4,2,1,1,3,4,2,3,1991,2,2
1992,1,10038,2,2,2,2,1,1,3,4,2,3,1974,2,2
1992,1,10039,1,2,6,2,2,2,3,4,2,3,1979,2,2
1992,2,10039,6,6,6,2,1,1,3,4,2,3,1990,2,2
1992,1,10040,1,1,1,1,1,1,3,4,1,3,1988,2,2
1992,1,10041,7,2,2,2,4,1,3,1,1,3,1989,2,2
1992,2,10041,1,3,3,2,1,1,3,4,2,3,1979,2,2
1992,1,10042,3,1,1,1,1,1,3,4,2,3,1983,2,2
1992,1,10043,1,2,2,2,1,1,3,4,2,3,1990,2,2
1992,2,10043,1,2,2,2,1,1,3,4,2,3,1992,2,2
1992,1,10044,2,2,3,2,2,2,3,4,1,3,1990,2,2
1992,1,10045,1,2,2,2,1,1,3,4,1,3,1988,2,2
1992,1,10046,6,1,1,1,2,2,3,4,2,3,1985,2,2
1992,1,10047,2,2,2,1,1,1,3,4,2,3,1987,2,2
1992,2,10047,1,5,5,2,1,1,3,4,2,3,1971,2,2
1992,1,10048,1,2,2,1,2,2,3,4,1,3,1988,2,2
1992,1,10049,1,2,2,2,1,1,3,4,2,3,1984,2,2
1992,2,10049,1,6,6,2,1,1,3,4,2,3,1981,2,2
1992,1,10050,2,2,2,1,1,1,3,4,2,3,1982,2,2
1992,1,10051,1,2,2,1,1,1,3,4,1,3,1965,2,2
1992,1,10052,1,5,5,2,1,1,3,4,2,3,1983,2,2
1992,2,10052,2,2,2,2,1,1,3,4,1,3,1981,2,2
1992,1,10053,1,2,2,2,1,1,3,4,2,3,1979,2,2
1992,2,10053,1,5,5,2,1,1,3,4,2,3,1989,2,2
1992,1,10054,1,5,5,2,2,2,3,4,1,3,1972,2,2
1992,1,10055,2,2,2,2,1,1,3,4,1,3,1988,2,2
1992,1,10056,2,1,1,1,2,2,3,4,1,3,1985,2,2
1992,1,10057,6,4,4,2,3,3,3,4,2,3,1987,2,2
1992,2,10057,1,2,2,2,1,1,3,4,2,3,1987,1,2
1992,1,10058,2,5,5,2,1,1,3,4,2,3,1968,2,2
1992,2,10058,2,2,2,2,1,1,3,4,2,3,1990,2,2
1992,1,10059,1,2,2,2,2,2,3,4,1,3,1978,2,2
1992,2,10059,2,2,2,2,1,1,3,4,2,3,1988,2,2
1992,1,10060,1,2,2,2,1,1,3,4,1,3,1974,2,2
1992,2,10060,1,3,3,2,1,1,3,4,2,3,1989,2,2
1992,1,10061,1,2,3,2,2,2,3,4,1,3,1981,2,2
1992,2,10061,1,2,2,2,1,1,3,4,2,3,1984,2,2
1992,1,10062,2,2,2,2,1,1,3,4,2,3,1970,2,2
1992,2,10062,1,2,2,2,1,1,3,4,2,3,1974,2,2
1992,1,10063,1,6,2,2,2,2,3,4,1,3,1984,2,2
1992,1,10064,1,2,2,2,1,1,3,4,2,3,1978,2,2
1992,2,10064,1,2,2,2,1,1,3,4,2,3,1990,2,2
1992,1,10065,1,2,2,2,1,1,3,4,2,3,1987,2,2
1992,2,10065,1,2,2,2,1,1,3,4,2,3,1983,2,2
1992,1,10066,1,2,2,2,2,2,3,4,2,3,1979,2,2
1992,1,10067,1,2,2,2,2,2,3,4,2,3,1978,2,2
1992,1,10068,2,2,2,2,2,2,3,4,1,3,1967,2,2
1992,1,10069,1,2,2,2,1,1,3,4,1,3,1978,2,2
1992,1,10070,1,2,2,2,1,1,3,4,1,3,1984,2,1
1992,1,10071,8,2,2,2,1,1,3,4,2,1,1982,2,2
1992,2,10071,1,2,2,2,1,1,3,4,1,3,1986,2,2
1992,1,10072,1,2,2,1,1,1,3,4,1,3,1980,2,2
1992,1,10073,2,5,5,2,1,1,3,4,1,3,1983,2,2
1992,1,10074,1,2,2,2,2,2,3,4,1,3,1988,2,2
1992,2,10074,6,4,4,2,1,1,3,4,2,3,1979,2,2
1992,1,10075,2,2,2,1,1,1,3,4,1,3,1988,2,2
1992,1,10076,2,2,2,2,1,1,3,4,2,3,1989,2,2
1992,2,10076,1,2,2,2,1,1,3,4,2,3,1989,2,2
1992,1,10077,1,3,3,1,1,1,3,4,2,3,1987,2,2
1992,1,10078,2,5,5,2,1,1,3,4,2,3,1987,2,2
1992,2,10078,1,2,2,2,1,1,3,4,2,3,1988,2,2
1992,3,10078,1,2,2,2,1,1,3,4,2,3,1983,2,2
1992,1,10079,1,4,4,2,1,1,3,4,2,3,1974,2,2
1992,2,10079,1,2,2,2,1,1,3,4,1,3,1982,2,2
1992,1,10080,6,2,2,2,1,1,3,4,2,3,1989,2,2
1992,2,10080,1,2,2,2,2,2,3,4,2,3,1978,2,2
1992,1,10081,1,3,3,2,1,1,3,4,2,3,1985,2,2
1992,2,10081,2,2,2,2,1,1,3,4,2,3,1984,2,2
1992,1,10082,1,4,2,2,1,1,3,4,2,3,1979,2,2
1992,1,10083,1,5,5,2,1,1,3,4,2,3,1983,2,2
1992,2,10083,2,2,2,2,1,1,3,4,2,3,1989,2,2
1992,1,10084,2,2,2,2,1,1,3,4,2,3,1984,2,2
1992,2,10084,1,2,2,2,2,2,3,4,2,3,1980,2,1
1992,1,10085,4,2,6,2,1,1,3,4,2,3,1986,2,2
1992,2,10085,6,5,6,2,1,1,3,4,2,3,1978,2,2
1992,1,10086,1,6,6,1,1,1,3,4,1,3,1979,2,2
1992,1,10087,1,2,2,1,2,2,3,4,1,3,1974,2,2
1992,1,10088,1,2,5,2,2,2,3,4,1,3,1979,2,2
1992,2,10088,6,4,4,2,1,1,3,4,2,3,1984,2,2
1992,3,10088,1,5,5,2,1,1,3,4,2,3,1985,2,2
1992,1,10089,1,5,5,2,1,1,3,4,2,3,1991,2,2
1992,2,10089,2,2,2,2,1,1,3,4,2,3,1992,2,2
1992,1,10090,1,2,2,2,1,1,3,4,2,3,1984,2,2
1992,1,10091,1,2,2,2,1,1,3,4,1,3,1980,2,2
1992,2,10091,6,4,4,2,1,1,3,4,2,3,1989,2,2
1992,1,10092,1,5,5,2,1,1,3,4,2,3,1987,2,2
1992,2,10092,6,2,2,2,1,1,3,4,2,3,1986,2,2
