ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1992,13,17,29,21,19,29,23,14,12,9
10002,1992,0,0,24,23,22,0,0,20,17,8
10003,1992,0,0,23,0,22,0,0,0,0,0
10004,1992,0,0,0,0,0,0,0,0,0,0
10005,1992,0,0,0,0,0,0,0,26,0,0
10006,1992,0,0,0,0,0,0,0,0,0,0
10007,1992,0,0,0,0,0,0,0,0,0,0
10008,1992,0,0,0,0,0,0,0,0,0,0
10009,1992,18,12,0,2,14,6,16,21,5,19
10010,1992,0,0,0,0,0,0,0,0,0,0
10011,1992,0,0,0,0,0,0,0,0,0,0
10012,1992,23,23,23,23,23,23,23,23,23,23
10013,1992,0,12,12,0,0,5,0,12,0,0
10014,1992,0,0,0,0,0,0,0,0,0,0
10015,1992,8,8,8,8,8,8,8,8,8,8
10016,1992,0,0,0,0,0,0,0,0,0,0
10017,1992,0,0,0,0,0,0,0,0,0,0
10018,1992,12,17,20,16,20,12,14,16,19,28
10019,1992,0,0,0,0,0,0,0,0,0,30
10020,1992,0,15,0,0,0,0,0,0,0,0
10021,1992,0,0,0,0,0,0,0,0,0,0
10022,1992,13,20,8,10,26,11,11,0,17,22
10023,1992,18,18,18,18,18,18,18,18,18,18
10024,1992,18,21,17,19,18,21,21,30,7,32
10025,1992,11,0,14,0,0,16,0,19,0,0
10026,1992,0,0,0,0,0,0,0,0,0,0
10027,1992,19,21,20,3,15,18,13,6,8,15
10028,1992,20,0,27,11,0,8,16,15,7,10
10029,1992,0,0,0,0,0,0,0,0,0,0
10030,1992,29,10,14,12,0,0,0,0,8,0
10031,1992,0,0,0,0,14,0,0,0,0,0
10032,1992,0,0,0,0,0,0,0,0,0,0
10033,1992,0,0,0,0,6,0,0,0,0,0
10034,1992,0,12,0,7,15,4,11,23,0,18
10035,1992,25,25,25,25,25,25,25,25,25,25
10036,1992,0,21,0,16,22,5,14,14,10,28
10037,1992,2,2,2,2,2,2,2,2,2,2
10038,1992,13,13,13,13,13,13,13,13,13,13
10039,1992,25,25,25,25,25,25,25,25,25,25
10040,1992,16,12,19,0,22,18,0,11,17,0
10041,1992,4,8,13,4,10,17,9,19,26,0
10042,1992,0,0,0,0,0,0,0,0,0,0
10043,1992,0,0,0,0,0,0,0,0,0,0
10044,1992,15,15,15,15,15,15,15,15,15,15
10045,1992,0,0,18,32,0,35,0,12,8,24
10046,1992,0,0,0,0,0,0,0,0,0,0
10047,1992,16,8,12,10,7,7,13,4,11,8
10048,1992,31,31,31,31,31,31,31,31,31,31
10049,1992,0,0,0,0,0,0,0,0,0,17
10050,1992,17,14,32,0,0,34,23,0,29,0
10051,1992,16,16,16,16,16,16,16,16,16,16
10052,1992,0,0,0,0,0,0,0,0,0,0
10053,1992,0,0,0,0,0,4,0,0,0,0
10054,1992,29,29,29,29,29,29,29,29,29,29
10055,1992,0,0,0,0,0,0,0,0,0,0
10056,1992,16,11,0,14,0,13,0,16,0,0
10057,1992,0,0,0,0,0,0,0,0,0,0
10058,1992,0,0,0,0,0,0,0,0,0,0
10059,1992,0,0,0,0,0,0,0,0,0,0
10060,1992,0,0,0,0,0,0,0,0,0,0
10061,1992,19,19,19,19,19,19,19,19,19,19
10062,1992,0,0,0,0,0,0,0,0,0,0
10063,1992,0,0,0,0,0,0,0,11,15,0
10064,1992,0,0,0,0,0,0,0,0,0,0
10065,1992,0,0,0,0,8,0,0,0,0,22
10066,1992,3,3,3,3,3,3,3,3,3,3
10067,1992,16,20,0,0,25,17,26,11,15,21
10068,1992,16,35,23,11,27,26,34,28,25,27
10069,1992,24,24,24,40,14,24,17,0,10,21
10070,1992,12,6,0,16,0,0,0,0,15,32
10071,1992,0,0,0,0,0,8,0,0,0,4
10072,1992,11,11,11,11,11,11,11,11,11,11
10073,1992,19,19,19,19,19,19,19,19,19,19
10074,1992,0,0,0,0,0,11,0,11,0,0
10075,1992,25,15,35,24,22,6,20,23,31,25
10076,1992,0,0,0,0,0,0,0,0,0,0
10077,1992,0,0,0,0,0,0,0,0,0,14
10078,1992,23,23,23,23,23,23,23,23,23,23
10079,1992,21,21,21,21,21,21,21,21,21,21
10080,1992,25,25,25,25,25,25,25,25,25,25
10081,1992,0,0,0,0,0,0,0,0,0,0
10082,1992,11,11,11,11,11,11,11,11,11,11
10083,1992,0,0,0,0,0,0,0,0,0,0
10084,1992,21,21,21,21,21,21,21,21,21,21
10085,1992,12,21,0,0,24,0,0,15,0,0
10086,1992,15,0,0,0,0,0,8,22,0,0
10087,1992,18,31,23,21,45,29,0,26,17,24
10088,1992,7,15,7,25,19,27,0,14,11,13
10089,1992,0,0,15,0,0,0,0,0,0,0
10090,1992,0,0,0,0,0,0,0,0,0,0
10091,1992,0,0,18,3,13,0,37,29,17,0
10092,1992,0,0,11,0,0,0,0,0,0,22
10093,1992,10,17,9,0,0,0,0,15,12,10
10094,1992,0,0,0,0,0,0,0,0,0,0
10095,1992,0,0,0,11,0,0,0,0,0,0
10096,1992,0,0,0,0,0,0,0,0,0,0
10097,1992,0,0,0,0,0,0,0,0,0,0
10098,1992,13,13,13,13,13,13,13,13,13,13
10099,1992,0,0,0,0,0,0,0,11,0,10
10100,1992,0,0,0,0,0,0,0,0,0,0
10101,1992,0,13,0,0,0,0,0,15,0,11
10102,1992,0,0,0,0,0,0,0,0,0,0
10103,1992,14,15,15,7,16,0,12,21,13,7
10104,1992,12,0,0,0,0,0,0,0,0,0
10105,1992,0,0,0,0,0,0,0,0,0,0
10106,1992,0,0,0,0,0,0,0,0,0,0
10107,1992,22,20,11,26,22,29,26,22,11,9
10108,1992,0,0,0,0,0,0,0,0,0,6
10109,1992,0,0,0,0,0,0,0,0,0,0
10110,1992,21,24,24,23,19,26,11,19,15,22
10111,1992,0,0,0,0,0,0,0,0,10,14
10112,1992,21,0,22,20,10,20,10,0,0,24
10113,1992,9,16,23,0,26,32,21,15,17,19
10114,1992,0,0,0,0,0,0,18,0,0,0
10115,1992,20,20,20,20,20,20,20,20,20,20
10116,1992,0,0,0,0,0,0,0,0,0,0
10117,1992,0,0,0,0,0,0,0,0,0,0
10118,1992,0,0,0,0,0,0,0,0,0,0
10119,1992,0,0,0,0,0,0,0,0,0,0
10120,1992,24,15,33,15,28,26,22,21,35,17
10121,1992,17,17,17,17,17,17,17,17,17,17
10122,1992,0,0,0,0,0,0,0,0,0,0
10123,1992,0,0,0,0,0,0,0,8,0,0
10124,1992,17,19,0,15,32,19,28,0,36,0
10125,1992,13,18,25,22,0,3,19,0,12,6
10126,1992,27,27,27,27,27,27,27,27,27,27
10127,1992,0,0,0,0,0,0,0,0,0,0
10128,1992,10,0,14,0,9,0,0,0,0,0
10129,1992,15,20,23,21,15,20,19,24,25,30
10130,1992,13,13,13,13,13,13,13,13,13,13
10131,1992,0,0,23,6,0,0,0,0,0,0
10132,1992,17,8,22,12,0,26,21,23,21,12
10133,1992,0,0,0,0,0,0,0,0,0,16
10134,1992,32,15,48,19,18,40,28,6,41,14
10135,1992,0,0,0,0,0,0,0,0,0,0
10136,1992,29,9,24,20,25,9,10,11,35,22
10137,1992,0,0,0,0,0,0,0,0,0,0
10138,1992,0,0,0,0,0,0,0,0,0,0
10139,1992,11,11,11,11,11,11,11,11,11,11
10140,1992,9,25,31,33,19,19,15,14,23,14
10141,1992,20,23,25,25,35,17,26,11,21,30
10142,1992,0,23,0,0,0,0,0,0,0,0
10143,1992,0,0,2,14,8,3,10,0,15,0
10144,1992,36,36,36,36,36,36,36,36,36,36
10145,1992,0,0,0,0,0,0,0,0,0,0
10147,1992,14,12,12,15,0,20,10,10,3,2
10148,1992,16,29,10,4,13,23,38,25,19,16
10149,1992,0,0,0,0,0,0,0,0,0,0
10150,1992,21,13,0,0,0,0,0,0,21,0
10151,1992,0,0,0,0,0,0,0,0,0,0
