ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1992,13,17,29,21,19,29,23,14,12,9
10002,1,1,1992,0,0,24,23,22,0,0,20,17,8
10003,1,1,1992,0,0,23,0,22,0,0,0,0,0
10003,2,1,1992,0,0,0,0,0,0,0,0,0,0
10003,3,1,1992,0,0,0,0,0,0,0,0,0,0
10004,1,1,1992,0,0,0,0,0,0,0,0,0,0
10004,2,1,1992,0,0,0,0,0,0,0,0,0,0
10005,1,1,1992,0,0,0,0,0,0,0,26,0,0
10006,1,1,1992,0,0,0,0,0,0,0,0,0,0
10006,2,1,1992,0,0,0,0,0,0,0,0,0,0
10007,1,1,1992,0,0,0,0,0,0,0,0,0,0
10007,2,1,1992,0,0,0,0,0,0,0,0,0,0
10008,1,1,1992,0,0,0,0,0,0,0,0,0,0
10009,1,1,1992,18,12,0,2,14,6,16,21,5,19
10010,0,1,1992,0,0,0,0,0,0,0,0,0,7
10010,1,1,1992,0,0,0,0,0,0,0,0,0,0
10011,1,1,1992,0,0,0,0,0,0,0,0,0,0
10011,2,1,1992,0,0,0,0,0,0,0,0,0,0
10012,1,1,1992,23,23,23,23,23,23,23,23,23,23
10013,1,1,1992,0,12,12,0,0,5,0,12,0,0
10014,1,1,1992,0,0,0,0,0,0,0,0,0,0
10014,2,1,1992,0,0,0,0,0,0,0,0,0,0
10015,1,1,1992,8,8,8,8,8,8,8,8,8,8
10016,1,1,1992,0,0,0,0,0,0,0,0,0,0
10016,2,1,1992,0,0,0,0,0,0,0,0,0,0
10017,1,1,1992,0,0,0,0,0,0,0,0,0,0
10018,1,1,1992,12,17,20,16,20,12,14,16,19,28
10018,2,1,1992,0,0,0,0,0,4,0,0,0,0
10019,1,1,1992,0,0,0,0,0,0,0,0,0,30
10019,2,1,1992,0,0,0,0,0,0,0,0,0,0
10020,1,1,1992,0,15,0,0,0,0,0,0,0,0
10021,1,1,1992,0,0,0,0,0,0,0,0,0,0
10021,2,1,1992,0,0,0,0,0,0,0,0,0,0
10022,1,1,1992,13,20,8,10,26,11,11,0,17,22
10023,1,1,1992,18,18,18,18,18,18,18,18,18,18
10024,1,1,1992,18,21,17,19,18,21,21,30,7,32
10025,1,1,1992,11,0,14,0,0,16,0,19,0,0
10026,1,1,1992,0,0,0,0,0,0,0,0,0,0
10027,1,1,1992,11,21,16,3,15,18,13,6,8,15
