ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1993,13,22,29,16,17,15,19,10,22,6
10002,1993,0,0,0,0,0,0,0,0,0,0
10003,1993,0,0,0,0,0,0,0,9,0,0
10004,1993,15,21,31,0,23,0,26,0,19,0
10005,1993,0,0,0,0,8,0,5,24,0,3
10006,1993,0,0,0,0,0,0,0,0,0,0
10007,1993,32,30,36,22,19,14,0,0,36,30
10008,1993,0,0,0,0,0,0,0,0,0,0
10009,1993,16,17,44,34,14,30,19,29,16,29
10010,1993,0,0,0,0,0,0,0,0,0,0
10011,1993,34,21,22,27,11,0,0,24,0,0
10012,1993,17,18,19,24,26,12,0,17,21,40
10013,1993,0,0,0,0,0,0,0,0,0,0
10014,1993,9,0,35,16,0,0,27,25,17,13
10015,1993,0,0,0,0,15,21,23,0,24,26
10016,1993,20,15,17,13,19,22,22,32,14,17
10017,1993,13,0,0,0,12,7,0,0,0,0
10018,1993,0,0,0,0,0,0,5,0,0,0
10019,1993,0,0,0,0,0,0,0,0,0,0
10020,1993,0,0,18,0,0,20,0,0,15,0
10021,1993,5,18,19,0,0,19,14,6,19,23
10022,1993,23,27,12,23,17,38,17,13,18,19
10024,1993,0,0,0,0,0,0,0,0,0,0
10025,1993,27,27,27,27,27,27,27,27,27,27
10026,1993,0,0,0,0,0,0,0,0,0,12
10027,1993,0,16,0,0,0,0,0,0,0,20
10029,1993,12,4,22,0,0,28,0,22,13,0
10030,1993,14,14,14,14,14,14,14,14,14,14
10031,1993,0,0,0,0,0,0,0,0,0,0
10032,1993,18,18,18,18,18,18,18,18,18,18
10033,1993,26,0,24,17,0,0,8,0,0,10
10034,1993,15,15,15,15,15,15,15,15,15,15
10035,1993,13,17,17,9,10,11,15,22,24,24
10036,1993,19,24,39,24,29,45,34,26,38,37
10037,1993,0,0,0,0,0,0,0,8,0,0
10038,1993,0,0,0,0,0,0,0,0,0,0
10039,1993,0,0,0,0,0,0,0,0,0,0
10040,1993,25,25,25,25,25,25,25,25,25,25
10041,1993,0,0,0,0,0,0,0,0,0,0
10042,1993,0,0,0,0,0,0,0,0,0,0
10043,1993,0,0,0,12,0,0,22,11,0,0
