ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1993,13,22,29,16,17,15,19,10,22,6
10002,1,1,1993,0,0,0,0,0,0,0,0,0,0
10003,1,1,1993,0,0,0,0,0,0,0,9,0,0
10004,1,1,1993,15,21,31,0,23,0,26,0,19,0
10004,2,1,1993,0,0,0,0,0,0,0,0,0,0
10005,1,1,1993,0,0,0,0,8,0,0,24,0,3
10005,2,1,1993,0,0,0,0,0,0,5,0,0,0
10006,0,1,1993,22,20,22,11,10,26,20,0,26,44
10006,1,1,1993,0,0,0,0,0,0,0,0,0,0
10007,1,1,1993,32,30,36,22,19,14,0,0,36,30
10008,1,1,1993,0,0,0,0,0,0,0,0,0,0
10008,2,1,1993,0,0,0,0,0,0,0,0,0,0
10009,1,1,1993,16,17,44,34,14,30,19,29,16,29
10010,1,1,1993,0,0,0,0,0,0,0,0,0,0
10011,1,1,1993,34,21,22,27,11,0,0,24,0,0
10011,2,1,1993,0,0,0,0,0,0,0,0,0,0
10012,1,1,1993,17,18,19,24,26,12,0,17,21,40
10013,1,1,1993,0,0,0,0,0,0,0,0,0,0
10013,2,1,1993,0,0,0,0,0,0,0,0,0,0
10014,1,1,1993,9,0,35,16,0,0,27,25,17,13
10015,1,1,1993,0,0,0,0,15,21,23,0,24,26
10016,1,1,1993,20,15,17,13,19,22,22,32,14,17
10017,1,1,1993,13,0,0,0,12,7,0,0,0,0
10017,2,1,1993,0,0,0,0,0,0,0,0,0,0
10017,3,1,1993,0,0,0,0,0,0,0,0,0,0
10018,1,1,1993,0,0,0,0,0,0,0,0,0,0
10018,2,1,1993,0,0,0,0,0,0,5,0,0,0
10019,1,1,1993,0,0,0,0,0,0,0,0,0,0
10019,2,1,1993,0,0,0,0,0,0,0,0,0,0
10020,1,1,1993,0,0,18,0,0,20,0,0,15,0
10021,1,1,1993,5,18,19,0,0,19,14,6,19,23
10021,2,1,1993,0,12,0,0,0,10,0,0,0,0
