YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1993,1,10001,1,1,1,2,1,1,2,4,2,3,1978,2,2
1993,1,10002,3,1,1,1,1,1,2,4,2,3,1990,2,2
1993,1,10003,1,2,2,2,1,1,2,4,1,3,1984,2,2
1993,1,10004,1,2,2,2,2,2,2,4,2,3,1984,2,2
1993,2,10004,1,2,2,2,1,1,2,4,2,3,1987,2,2
1993,1,10005,1,2,3,2,1,1,2,4,1,3,1992,2,2
1993,2,10005,6,2,2,2,1,1,1,4,2,3,1979,2,2
1993,1,10006,6,2,2,2,1,1,1,4,2,3,1983,2,2
1993,1,10007,2,2,2,1,2,2,2,4,1,3,1984,2,2
1993,1,10008,2,2,2,2,1,1,1,4,2,3,1992,2,2
1993,2,10008,6,2,2,2,1,1,1,4,2,3,1988,2,2
1993,1,10009,1,2,2,1,2,2,2,4,1,3,1973,2,2
1993,1,10010,6,1,1,1,1,1,1,4,2,3,1979,2,1
1993,1,10011,2,2,2,2,2,2,2,4,2,3,1988,2,2
1993,2,10011,6,2,2,2,1,1,1,4,2,3,1993,2,2
1993,1,10012,1,6,6,1,1,1,2,4,1,3,1979,2,2
1993,1,10013,1,2,2,2,1,1,2,4,2,3,1987,2,2
1993,2,10013,1,5,5,2,1,1,2,4,2,3,1986,2,2
1993,1,10014,1,1,1,1,1,1,2,4,2,3,1986,2,2
1993,1,10015,2,2,2,2,1,1,2,4,2,3,1978,2,2
1993,1,10016,2,2,2,1,1,1,2,4,2,3,1989,2,2
1993,1,10017,4,2,2,2,1,1,2,4,2,3,1992,2,2
1993,2,10017,2,4,4,2,1,1,2,4,2,3,1991,2,2
1993,3,10017,1,2,2,2,1,1,2,4,2,3,1988,2,2
1993,1,10018,6,4,4,2,1,1,1,4,2,3,1974,2,2
1993,2,10018,1,2,2,2,1,1,2,4,2,3,1982,2,2
1993,1,10019,1,2,2,2,1,1,2,4,2,3,1987,2,2
1993,2,10019,6,2,6,2,3,3,3,4,2,3,1989,2,2
1993,1,10020,2,2,2,1,1,1,2,4,1,3,1970,2,2
1993,1,10021,1,2,2,2,1,1,1,4,2,3,1985,2,2
1993,2,10021,6,2,2,2,3,3,3,4,2,3,1985,2,2
1993,1,10022,1,2,2,1,2,2,2,4,2,3,1986,2,2
1993,1,10024,2,5,5,1,1,1,2,4,2,3,1987,2,2
1993,1,10025,4,2,2,2,1,1,2,4,2,3,1984,2,2
1993,2,10025,4,2,2,2,1,1,2,4,2,3,1985,2,2
1993,1,10026,1,2,2,2,1,1,2,4,2,3,1988,2,2
1993,2,10026,1,2,2,2,2,2,2,4,2,3,1975,2,2
1993,1,10027,4,2,2,2,1,1,2,4,2,3,1987,2,2
1993,2,10027,2,2,2,2,1,1,2,4,2,3,1992,2,2
1993,1,10029,1,2,2,1,1,1,2,4,2,3,1989,2,2
1993,1,10030,1,5,5,2,2,2,2,4,1,3,1986,2,2
1993,1,10031,1,2,2,2,1,1,2,4,2,3,1992,2,2
1993,2,10031,1,2,2,2,1,1,2,4,2,3,1985,2,2
1993,3,10031,1,2,2,2,1,1,2,4,2,3,1986,2,2
1993,4,10031,6,5,5,2,1,1,1,4,2,3,1989,2,2
1993,1,10032,1,2,2,1,1,1,2,4,1,3,1989,2,2
1993,1,10033,2,2,2,1,1,1,1,4,2,3,1977,2,2
1993,1,10034,1,2,2,2,1,1,2,4,1,3,1985,2,2
1993,1,10035,1,4,4,2,1,1,2,4,1,3,1988,2,2
1993,1,10036,1,2,2,1,2,2,2,4,1,3,1982,2,2
1993,1,10037,1,2,2,2,1,1,2,4,1,3,1986,2,2
1993,2,10037,1,5,5,2,1,1,1,4,2,3,1992,2,2
1993,1,10038,2,2,2,2,1,1,2,4,2,3,1977,2,2
1993,1,10039,6,2,2,1,1,1,1,4,2,3,1992,2,1
1993,1,10040,1,2,2,2,1,1,2,4,2,3,1982,2,2
1993,2,10040,3,2,2,1,1,1,2,4,2,3,1988,2,2
1993,1,10041,2,2,2,1,1,1,2,4,2,3,1989,2,2
1993,1,10042,6,2,2,2,1,1,1,4,2,3,1985,2,2
1993,2,10042,1,5,5,2,1,1,2,4,2,3,1992,2,2
1993,1,10043,1,2,2,2,2,2,2,4,2,3,1989,2,2
1993,2,10043,1,2,2,2,1,1,2,4,2,3,1991,2,2
1993,1,10044,1,2,2,2,1,1,2,4,2,3,1992,2,1
1993,2,10044,3,2,2,2,1,1,2,4,1,3,1992,2,2
1993,1,10045,1,2,2,1,1,1,2,4,1,3,1990,2,2
1993,1,10046,3,3,3,1,1,1,2,4,2,3,1992,2,2
1993,1,10047,2,2,2,2,1,1,2,4,1,3,1992,2,2
1993,1,10048,6,1,1,1,1,1,1,4,2,3,1985,2,2
1993,1,10049,1,2,2,2,1,1,2,4,2,3,1983,2,2
1993,2,10049,1,2,2,2,1,1,2,4,2,3,1979,2,2
1993,1,10050,6,2,2,1,1,1,1,4,1,3,1993,2,2
1993,1,10051,2,2,2,1,2,2,2,4,1,3,1983,2,2
1993,1,10052,6,2,2,2,1,1,1,4,2,3,1986,2,2
1993,2,10052,1,2,2,2,1,1,2,4,2,3,1978,2,2
1993,1,10053,3,5,5,2,1,1,2,4,1,3,1992,2,2
1993,2,10053,1,2,2,2,1,1,2,4,2,3,1984,2,2
1993,1,10054,1,2,2,2,1,1,2,4,2,3,1986,2,2
1993,2,10054,1,2,2,2,1,1,2,4,2,3,1988,2,2
1993,1,10055,9,2,2,2,1,1,1,4,2,3,1990,2,2
1993,2,10055,1,2,2,2,1,1,2,4,1,3,1981,2,2
1993,1,10056,2,1,1,2,1,1,2,4,2,3,1987,2,2
1993,1,10057,2,2,2,2,2,2,2,4,2,3,1982,2,2
1993,2,10057,6,4,4,2,1,1,1,4,2,3,1992,2,2
1993,1,10058,1,2,2,2,1,1,2,4,1,3,1982,2,2
1993,2,10058,1,3,3,2,1,1,2,4,2,3,1986,2,2
