YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1995,1,10001,1,2,5,2,1,1,2,4,2,3,1994,2,2
1995,1,10002,1,3,3,2,1,1,2,4,2,3,1990,2,2
1995,1,10003,3,1,1,1,1,1,2,4,2,3,1986,2,2
1995,1,10004,1,2,2,2,1,1,2,4,2,3,1992,2,2
1995,1,10005,1,1,1,1,2,2,2,4,2,3,1977,2,2
1995,1,10006,1,2,2,2,1,1,2,4,2,3,1993,2,1
1995,1,10007,9,5,5,2,1,1,1,4,2,3,1989,2,2
1995,2,10007,6,2,2,2,1,1,1,4,2,3,1985,2,2
1995,1,10008,1,2,2,2,2,2,2,4,1,3,1988,2,2
1995,1,10009,1,4,4,2,1,1,2,4,2,3,1988,2,2
1995,2,10009,2,2,2,2,1,1,2,4,2,3,1992,2,2
1995,1,10010,2,2,2,1,1,1,2,4,2,3,1986,2,1
1995,1,10011,1,2,2,2,1,1,2,4,2,3,1989,2,2
1995,1,10012,1,3,3,2,2,2,2,4,1,3,1983,2,2
1995,1,10013,1,2,2,1,1,1,2,4,2,3,1987,2,2
1995,1,10014,2,1,1,1,1,1,2,4,2,3,1988,2,2
1995,1,10015,1,2,2,2,1,1,2,4,2,3,1990,2,2
1995,2,10015,1,3,3,2,1,1,2,4,2,3,1978,2,2
1995,1,10016,6,2,2,2,1,1,1,4,2,3,1993,2,2
1995,2,10016,1,2,2,2,1,1,2,4,2,3,1991,1,2
1995,1,10017,1,6,3,2,1,1,2,4,1,3,1989,2,2
1995,1,10018,1,2,2,2,1,1,2,4,1,3,1987,2,2
1995,2,10018,2,2,2,2,1,1,2,4,2,3,1978,2,2
1995,1,10019,2,2,2,2,1,1,1,4,1,3,1974,2,2
1995,1,10020,2,2,2,1,1,1,2,4,2,3,1983,2,2
1995,1,10021,1,2,2,2,1,1,2,4,1,3,1989,2,2
1995,1,10022,1,4,4,2,1,1,2,4,1,3,1989,2,2
1995,1,10023,1,3,3,2,1,1,2,4,1,3,1995,2,2
1995,2,10023,1,2,2,2,1,1,1,4,2,3,1991,2,2
1995,1,10024,1,2,2,2,1,1,2,4,2,3,1992,1,2
1995,2,10024,1,3,3,2,3,3,3,4,2,3,1982,2,2
1995,1,10025,1,2,2,2,1,1,2,4,1,3,1986,2,2
1995,1,10026,2,2,2,2,1,1,2,4,1,3,1989,2,2
1995,1,10027,2,2,2,2,1,1,2,4,1,3,1984,2,2
1995,2,10027,6,4,4,2,1,1,1,4,2,3,1993,2,2
1995,1,10028,2,2,2,2,2,2,2,4,1,3,1974,2,2
1995,1,10029,2,2,2,2,1,1,2,4,2,3,1994,2,2
1995,2,10029,2,2,2,2,2,2,2,4,2,3,1977,2,2
1995,1,10030,1,2,2,2,1,1,2,4,2,3,1991,2,2
1995,2,10030,1,2,2,2,1,1,2,4,2,3,1988,2,2
1995,1,10031,1,5,5,1,1,1,2,4,1,3,1983,2,2
1995,1,10032,6,7,7,2,1,1,1,4,2,3,1992,2,2
1995,1,10033,1,3,3,1,2,2,2,4,1,3,1989,2,2
1995,1,10035,2,1,1,1,1,1,2,4,2,3,1992,2,2
1995,1,10036,1,2,2,1,1,1,2,4,1,3,1983,2,2
1995,1,10037,1,2,2,1,1,1,2,4,2,3,1977,2,2
1995,1,10038,1,2,2,2,1,1,1,4,1,3,1979,2,2
1995,1,10039,1,2,3,2,1,1,2,4,1,3,1994,2,2
1995,2,10039,1,3,3,2,1,1,2,4,2,3,1991,2,2
1995,3,10039,2,2,2,2,1,1,2,4,2,3,1991,2,2
1995,1,10040,1,3,3,2,1,1,2,4,2,3,1987,2,2
1995,2,10040,2,2,2,2,1,1,2,4,2,3,1994,2,2
1995,1,10041,1,1,1,1,1,1,2,4,2,3,1990,2,2
1995,1,10042,1,2,2,2,1,1,2,4,2,3,1976,2,2
1995,2,10042,1,2,2,2,1,1,2,4,2,3,1976,2,2
1995,1,10043,1,2,2,2,2,2,2,4,1,3,1982,2,2
1995,1,10044,7,2,2,2,4,1,2,1,2,3,1986,2,2
1995,2,10044,1,7,7,2,1,1,2,4,2,3,1989,2,2
1995,1,10045,2,2,2,1,1,1,2,4,2,3,1972,2,2
1995,1,10046,1,3,3,2,1,1,2,4,1,3,1976,2,2
1995,1,10047,1,5,5,2,1,1,2,4,2,3,1978,2,2
1995,1,10048,3,3,3,1,1,1,2,4,1,3,1993,2,2
1995,1,10049,2,2,2,2,1,1,2,4,1,3,1971,2,2
1995,1,10050,4,2,2,2,1,1,2,4,2,3,1992,2,2
1995,2,10050,1,2,2,2,1,1,2,4,2,3,1986,2,2
1995,1,10051,2,2,2,1,1,1,2,4,1,3,1986,2,2
