State,Measures,Year,Values
Missouri,Licensed drivers,2006,4139632
Montana,Licensed drivers,2006,723976
Nebraska,Licensed drivers,2006,1327916
Nevada,Licensed drivers,2006,1626021
New Hampshire,Licensed drivers,2006,1027582
New Jersey,Licensed drivers,2006,5834227
New Mexico,Licensed drivers,2006,1338246
New York,Licensed drivers,2006,11146367
North Carolina,Licensed drivers,2006,6315667
North Dakota,Licensed drivers,2006,468711
Ohio,Licensed drivers,2006,7739410
Oklahoma,Licensed drivers,2006,2264151
Oregon,Licensed drivers,2006,2767291
Pennsylvania,Licensed drivers,2006,8526204
Rhode Island,Licensed drivers,2006,741921
South Carolina,Licensed drivers,2006,3067747
South Dakota,Licensed drivers,2006,582517
Tennessee,Licensed drivers,2006,4387883
Texas,Licensed drivers,2006,14906701
Utah,Licensed drivers,2006,1619085
Vermont,Licensed drivers,2006,532041
Virginia,Licensed drivers,2006,5210685
Washington,Licensed drivers,2006,4790864
West Virginia,Licensed drivers,2006,1335303
Wisconsin,Licensed drivers,2006,4049450
Wyoming,Licensed drivers,2006,390538
Alabama,Licensed drivers,2005,3637414
Alaska,Licensed drivers,2005,486582
Arizona,Licensed drivers,2005,3943180
Arkansas,Licensed drivers,2005,2024466
California,Licensed drivers,2005,22895965
Colorado,Licensed drivers,2005,3341275
Connecticut,Licensed drivers,2005,2740270
Delaware,Licensed drivers,2005,610406
District of Columbia,Licensed drivers,2005,330363
Florida,Licensed drivers,2005,13373700
Georgia,Licensed drivers,2005,5939513
Hawaii,Licensed drivers,2005,856163
Idaho,Licensed drivers,2005,978450
Illinois,Licensed drivers,2005,7870872
Indiana,Licensed drivers,2005,4246189
Iowa,Licensed drivers,2005,2033417
Kansas,Licensed drivers,2005,1974238
Kentucky,Licensed drivers,2005,2860729
Louisiana,Licensed drivers,2005,3083516
Maine,Licensed drivers,2005,1003972
Maryland,Licensed drivers,2005,3709594
Massachusetts,Licensed drivers,2005,4612829
Michigan,Licensed drivers,2005,7105272
Minnesota,Licensed drivers,2005,3083757
Mississippi,Licensed drivers,2005,1965464
Missouri,Licensed drivers,2005,4135394
Montana,Licensed drivers,2005,715512
Nebraska,Licensed drivers,2005,1320617
Nevada,Licensed drivers,2005,1596353
New Hampshire,Licensed drivers,2005,998214
New Jersey,Licensed drivers,2005,5870720
New Mexico,Licensed drivers,2005,1304721
New York,Licensed drivers,2005,11071911
North Carolina,Licensed drivers,2005,6227817
North Dakota,Licensed drivers,2005,466701
Ohio,Licensed drivers,2005,7707842
Oklahoma,Licensed drivers,2005,2234114
Oregon,Licensed drivers,2005,2692948
Pennsylvania,Licensed drivers,2005,8460530
Rhode Island,Licensed drivers,2005,746465
South Carolina,Licensed drivers,2005,2987593
South Dakota,Licensed drivers,2005,566255
Tennessee,Licensed drivers,2005,4351868
Texas,Licensed drivers,2005,14659390
Utah,Licensed drivers,2005,1599514
Vermont,Licensed drivers,2005,563162
Virginia,Licensed drivers,2005,5178156
Washington,Licensed drivers,2005,4681927
West Virginia,Licensed drivers,2005,1327569
Wisconsin,Licensed drivers,2005,3993348
Wyoming,Licensed drivers,2005,382735
Alabama,Licensed drivers,2004,3613138
Alaska,Licensed drivers,2004,482532
Arizona,Licensed drivers,2004,3783927
Arkansas,Licensed drivers,2004,1862430
California,Licensed drivers,2004,22761088
Colorado,Licensed drivers,2004,3205054
Connecticut,Licensed drivers,2004,2694574
Delaware,Licensed drivers,2004,533943
District of Columbia,Licensed drivers,2004,349122
Florida,Licensed drivers,2004,13146357
Georgia,Licensed drivers,2004,5793143
Hawaii,Licensed drivers,2004,843876
Idaho,Licensed drivers,2004,942983
Illinois,Licensed drivers,2004,8057683
Indiana,Licensed drivers,2004,4521329
Iowa,Licensed drivers,2004,2003723
Kansas,Licensed drivers,2004,1979746
Kentucky,Licensed drivers,2004,2823454
Louisiana,Licensed drivers,2004,3169627
Maine,Licensed drivers,2004,984829
Maryland,Licensed drivers,2004,3594251
Massachusetts,Licensed drivers,2004,4645857
Michigan,Licensed drivers,2004,7103404
Minnesota,Licensed drivers,2004,3083007
Mississippi,Licensed drivers,2004,1896008
Missouri,Licensed drivers,2004,4047652
Montana,Licensed drivers,2004,712880
Nebraska,Licensed drivers,2004,1315819
Nevada,Licensed drivers,2004,1548097
New Hampshire,Licensed drivers,2004,985775
New Jersey,Licensed drivers,2004,5799532
New Mexico,Licensed drivers,2004,1271365
New York,Licensed drivers,2004,11246675
North Carolina,Licensed drivers,2004,6122137
North Dakota,Licensed drivers,2004,461780
Ohio,Licensed drivers,2004,7675007
Oklahoma,Licensed drivers,2004,2369621
Oregon,Licensed drivers,2004,2625856
Pennsylvania,Licensed drivers,2004,8430142
Rhode Island,Licensed drivers,2004,741841
South Carolina,Licensed drivers,2004,2972369
South Dakota,Licensed drivers,2004,563298
Tennessee,Licensed drivers,2004,4247884
Texas,Licensed drivers,2004,14543528
Utah,Licensed drivers,2004,1582599
Vermont,Licensed drivers,2004,550462
Virginia,Licensed drivers,2004,5112523
Washington,Licensed drivers,2004,4504581
West Virginia,Licensed drivers,2004,1292036
Wisconsin,Licensed drivers,2004,3910188
Wyoming,Licensed drivers,2004,380180
Alabama,Licensed drivers,2003,3598034
Alaska,Licensed drivers,2003,481487
Arizona,Licensed drivers,2003,3819425
Arkansas,Licensed drivers,2003,1998127
California,Licensed drivers,2003,22657288
Colorado,Licensed drivers,2003,2975337
Connecticut,Licensed drivers,2003,2659918
Delaware,Licensed drivers,2003,585136
District of Columbia,Licensed drivers,2003,313027
Florida,Licensed drivers,2003,12905812
Georgia,Licensed drivers,2003,5757953
Hawaii,Licensed drivers,2003,834188
Idaho,Licensed drivers,2003,921283
Illinois,Licensed drivers,2003,8054232
Indiana,Licensed drivers,2003,4536205
Iowa,Licensed drivers,2003,1977909
Kansas,Licensed drivers,2003,1987251
Kentucky,Licensed drivers,2003,2799635
Louisiana,Licensed drivers,2003,3119960
Maine,Licensed drivers,2003,932455
Maryland,Licensed drivers,2003,3552187
Massachusetts,Licensed drivers,2003,4645705
Michigan,Licensed drivers,2003,7065438
Minnesota,Licensed drivers,2003,3035553
Mississippi,Licensed drivers,2003,1885974
Missouri,Licensed drivers,2003,3965610
Montana,Licensed drivers,2003,704509
Nebraska,Licensed drivers,2003,1311332
Nevada,Licensed drivers,2003,1487899
New Hampshire,Licensed drivers,2003,967770
New Jersey,Licensed drivers,2003,5728975
New Mexico,Licensed drivers,2003,1236488
New York,Licensed drivers,2003,11356988
North Carolina,Licensed drivers,2003,6014782
North Dakota,Licensed drivers,2003,459791
Ohio,Licensed drivers,2003,7656362
Oklahoma,Licensed drivers,2003,2348449
Oregon,Licensed drivers,2003,2589764
Pennsylvania,Licensed drivers,2003,8369575
Rhode Island,Licensed drivers,2003,731323
South Carolina,Licensed drivers,2003,2918957
South Dakota,Licensed drivers,2003,554553
Tennessee,Licensed drivers,2003,4204166
Texas,Licensed drivers,2003,13498071
Utah,Licensed drivers,2003,1548456
Vermont,Licensed drivers,2003,543412
Virginia,Licensed drivers,2003,5045857
Washington,Licensed drivers,2003,4407269
West Virginia,Licensed drivers,2003,1272135
Wisconsin,Licensed drivers,2003,3765644
Wyoming,Licensed drivers,2003,378009
Alabama,Licensed drivers,2002,3577986
Alaska,Licensed drivers,2002,480295
Arizona,Licensed drivers,2002,3668326
Arkansas,Licensed drivers,2002,1965008
California,Licensed drivers,2002,22394800
Colorado,Licensed drivers,2002,3165815
Connecticut,Licensed drivers,2002,2672145
Delaware,Licensed drivers,2002,573021
District of Columbia,Licensed drivers,2002,309349
Florida,Licensed drivers,2002,12744055
Georgia,Licensed drivers,2002,6012847
Hawaii,Licensed drivers,2002,814668
Idaho,Licensed drivers,2002,907029
Illinois,Licensed drivers,2002,8033399
Indiana,Licensed drivers,2002,4221123
Iowa,Licensed drivers,2002,1992803
Kansas,Licensed drivers,2002,1935361
Kentucky,Licensed drivers,2002,2772674
Louisiana,Licensed drivers,2002,3168238
Maine,Licensed drivers,2002,948748
Maryland,Licensed drivers,2002,3523311
Massachusetts,Licensed drivers,2002,4686416
Michigan,Licensed drivers,2002,7025357
Minnesota,Licensed drivers,2002,2997058
Mississippi,Licensed drivers,2002,1861496
Missouri,Licensed drivers,2002,3931448
Montana,Licensed drivers,2002,694743
Nebraska,Licensed drivers,2002,1275206
Nevada,Licensed drivers,2002,1460903
New Hampshire,Licensed drivers,2002,954910
New Jersey,Licensed drivers,2002,5711794
New Mexico,Licensed drivers,2002,1243894
New York,Licensed drivers,2002,10913850
North Carolina,Licensed drivers,2002,5943288
North Dakota,Licensed drivers,2002,461090
Ohio,Licensed drivers,2002,7707870
Oklahoma,Licensed drivers,2002,2324442
Oregon,Licensed drivers,2002,2563529
Pennsylvania,Licensed drivers,2002,8323741
Rhode Island,Licensed drivers,2002,720550
South Carolina,Licensed drivers,2002,2918957
South Dakota,Licensed drivers,2002,546386
Tennessee,Licensed drivers,2002,4205933
Texas,Licensed drivers,2002,13184629
Utah,Licensed drivers,2002,1529934
Vermont,Licensed drivers,2002,529453
Virginia,Licensed drivers,2002,5158232
Washington,Licensed drivers,2002,4381417
West Virginia,Licensed drivers,2002,1325029
Wisconsin,Licensed drivers,2002,3529720
Wyoming,Licensed drivers,2002,303357
Alabama,Licensed drivers,2001,3559897
Alaska,Licensed drivers,2001,472211
Arizona,Licensed drivers,2001,3550367
Arkansas,Licensed drivers,2001,1961883
California,Licensed drivers,2001,21623793
Colorado,Licensed drivers,2001,3287922
Connecticut,Licensed drivers,2001,2650374
Delaware,Licensed drivers,2001,564099
District of Columbia,Licensed drivers,2001,328094
Florida,Licensed drivers,2001,12743403
Georgia,Licensed drivers,2001,5833802
Hawaii,Licensed drivers,2001,787820
Idaho,Licensed drivers,2001,896666
Illinois,Licensed drivers,2001,7809500
Indiana,Licensed drivers,2001,4116924
Iowa,Licensed drivers,2001,1978748
Kansas,Licensed drivers,2001,1871301
Kentucky,Licensed drivers,2001,2756634
Louisiana,Licensed drivers,2001,2718209
Maine,Licensed drivers,2001,942556
Maryland,Licensed drivers,2001,3451966
Massachusetts,Licensed drivers,2001,4610666
Michigan,Licensed drivers,2001,6976982
Minnesota,Licensed drivers,2001,2961236
Mississippi,Licensed drivers,2001,1859487
Missouri,Licensed drivers,2001,3862300
Montana,Licensed drivers,2001,683351
Nebraska,Licensed drivers,2001,1267284
Nevada,Licensed drivers,2001,1420714
New Hampshire,Licensed drivers,2001,941829
New Jersey,Licensed drivers,2001,5715089
New Mexico,Licensed drivers,2001,1231701
New York,Licensed drivers,2001,11014805
North Carolina,Licensed drivers,2001,5884651
North Dakota,Licensed drivers,2001,455921
Ohio,Licensed drivers,2001,7736115
Oklahoma,Licensed drivers,2001,2172394
Oregon,Licensed drivers,2001,2534464
Pennsylvania,Licensed drivers,2001,8226202
Rhode Island,Licensed drivers,2001,660435
South Carolina,Licensed drivers,2001,2849885
South Dakota,Licensed drivers,2001,544997
Tennessee,Licensed drivers,2001,4188317
Texas,Licensed drivers,2001,13045727
Utah,Licensed drivers,2001,1495887
Vermont,Licensed drivers,2001,515348
Virginia,Licensed drivers,2001,4920753
Washington,Licensed drivers,2001,4237845
West Virginia,Licensed drivers,2001,1316955
Wisconsin,Licensed drivers,2001,3667497
Wyoming,Licensed drivers,2001,370713
Alabama,Licensed drivers,2000,3521444
Alaska,Licensed drivers,2000,465256
Arizona,Licensed drivers,2000,3433995
Arkansas,Licensed drivers,2000,1947867
California,Licensed drivers,2000,21243939
Colorado,Licensed drivers,2000,3107258
Connecticut,Licensed drivers,2000,2652593
Delaware,Licensed drivers,2000,556688
District of Columbia,Licensed drivers,2000,348216
Florida,Licensed drivers,2000,12853428
Georgia,Licensed drivers,2000,5550176.176
Hawaii,Licensed drivers,2000,769383
Idaho,Licensed drivers,2000,883546
Illinois,Licensed drivers,2000,7961046
Indiana,Licensed drivers,2000,3976241
Iowa,Licensed drivers,2000,1952508
Kansas,Licensed drivers,2000,1908117
Kentucky,Licensed drivers,2000,2694469
Louisiana,Licensed drivers,2000,2759120
Maine,Licensed drivers,2000,920235
Maryland,Licensed drivers,2000,3382451
Massachusetts,Licensed drivers,2000,4489695
Michigan,Licensed drivers,2000,6925246
Minnesota,Licensed drivers,2000,2940789
Mississippi,Licensed drivers,2000,2007746
Missouri,Licensed drivers,2000,3856271
Montana,Licensed drivers,2000,678899
Nebraska,Licensed drivers,2000,1195219
Nevada,Licensed drivers,2000,1370643
New Hampshire,Licensed drivers,2000,929630
New Jersey,Licensed drivers,2000,5654973
New Mexico,Licensed drivers,2000,1239043
New York,Licensed drivers,2000,10871344
North Carolina,Licensed drivers,2000,5690494
North Dakota,Licensed drivers,2000,458944
Ohio,Licensed drivers,2000,8205524
Oklahoma,Licensed drivers,2000,2295036
Oregon,Licensed drivers,2000,2495059
Pennsylvania,Licensed drivers,2000,8229490
Rhode Island,Licensed drivers,2000,654035
South Carolina,Licensed drivers,2000,2842553
South Dakota,Licensed drivers,2000,543817
Tennessee,Licensed drivers,2000,4251228
Texas,Licensed drivers,2000,13462023
Utah,Licensed drivers,2000,1463366
Vermont,Licensed drivers,2000,506085
Virginia,Licensed drivers,2000,4836993
Washington,Licensed drivers,2000,4154501
West Virginia,Licensed drivers,2000,1347207
Wisconsin,Licensed drivers,2000,3770453.22
Wyoming,Licensed drivers,2000,370740.42
Alabama,Licensed drivers,1999,3445893
Alaska,Licensed drivers,1999,459362
Arizona,Licensed drivers,1999,3297281
Arkansas,Licensed drivers,1999,1925733
California,Licensed drivers,1999,20830674
Colorado,Licensed drivers,1999,2990673.14
Connecticut,Licensed drivers,1999,2373723
Delaware,Licensed drivers,1999,551787
District of Columbia,Licensed drivers,1999,348873
Florida,Licensed drivers,1999,12400841
Georgia,Licensed drivers,1999,5471100
Hawaii,Licensed drivers,1999,752693
Idaho,Licensed drivers,1999,872825
Illinois,Licensed drivers,1999,7925204
Indiana,Licensed drivers,1999,3856177
Iowa,Licensed drivers,1999,1935201
Kansas,Licensed drivers,1999,1892478
Kentucky,Licensed drivers,1999,2660468
Louisiana,Licensed drivers,1999,2762571
Maine,Licensed drivers,1999,911704
Maryland,Licensed drivers,1999,3194601
Massachusetts,Licensed drivers,1999,4421054
Michigan,Licensed drivers,1999,6863199
Minnesota,Licensed drivers,1999,2907027
Mississippi,Licensed drivers,1999,1788189
Missouri,Licensed drivers,1999,3839764
Montana,Licensed drivers,1999,660151
Nebraska,Licensed drivers,1999,1202517
Nevada,Licensed drivers,1999,1322014
New Hampshire,Licensed drivers,1999,918563
New Jersey,Licensed drivers,1999,5550772
New Mexico,Licensed drivers,1999,1221927.035
New York,Licensed drivers,1999,10626625
North Carolina,Licensed drivers,1999,5491228
North Dakota,Licensed drivers,1999,457890
Ohio,Licensed drivers,1999,8045787
Oklahoma,Licensed drivers,1999,2312621
Oregon,Licensed drivers,1999,2461639
Pennsylvania,Licensed drivers,1999,8478276
Rhode Island,Licensed drivers,1999,688650.32
South Carolina,Licensed drivers,1999,2810221
South Dakota,Licensed drivers,1999,543573
Tennessee,Licensed drivers,1999,4175766
Texas,Licensed drivers,1999,13359305
Utah,Licensed drivers,1999,1439534
Vermont,Licensed drivers,1999,495824
Virginia,Licensed drivers,1999,4729373
Washington,Licensed drivers,1999,4128775
West Virginia,Licensed drivers,1999,1273701
Wisconsin,Licensed drivers,1999,3733122
Wyoming,Licensed drivers,1999,363471
Alabama,Licensed drivers,1998,3434117
Alaska,Licensed drivers,1998,456891
Arizona,Licensed drivers,1998,3198276
Arkansas,Licensed drivers,1998,1918451
California,Licensed drivers,1998,20498902
Colorado,Licensed drivers,1998,2946476
Connecticut,Licensed drivers,1998,2349286
Delaware,Licensed drivers,1998,545872
District of Columbia,Licensed drivers,1998,349835
Florida,Licensed drivers,1998,12026947
Georgia,Licensed drivers,1998,5315739
Hawaii,Licensed drivers,1998,746329
Idaho,Licensed drivers,1998,862674
Illinois,Licensed drivers,1998,7700880
Indiana,Licensed drivers,1998,3976241
Iowa,Licensed drivers,1998,1950374
Kansas,Licensed drivers,1998,1851449
Kentucky,Licensed drivers,1998,2640335
Louisiana,Licensed drivers,1998,2736305
Maine,Licensed drivers,1998,912506
Maryland,Licensed drivers,1998,3177783
Massachusetts,Licensed drivers,1998,4394355
Michigan,Licensed drivers,1998,6802704
Minnesota,Licensed drivers,1998,2868002
Mississippi,Licensed drivers,1998,1758293
Missouri,Licensed drivers,1998,3798096
Montana,Licensed drivers,1998,646512
Nebraska,Licensed drivers,1998,1185794
Nevada,Licensed drivers,1998,1245905
New Hampshire,Licensed drivers,1998,907479
New Jersey,Licensed drivers,1998,5563492
New Mexico,Licensed drivers,1998,1203869
New York,Licensed drivers,1998,10554098
North Carolina,Licensed drivers,1998,5534284
North Dakota,Licensed drivers,1998,454933
Ohio,Licensed drivers,1998,7941479
Oklahoma,Licensed drivers,1998,2305361
Oregon,Licensed drivers,1998,2417002
Pennsylvania,Licensed drivers,1998,8404689
Rhode Island,Licensed drivers,1998,681832
South Carolina,Licensed drivers,1998,2679131
South Dakota,Licensed drivers,1998,535339
Tennessee,Licensed drivers,1998,4072836
Texas,Licensed drivers,1998,13322911
Utah,Licensed drivers,1998,1393242
Vermont,Licensed drivers,1998,497172
Virginia,Licensed drivers,1998,4787150
Washington,Licensed drivers,1998,4078895
West Virginia,Licensed drivers,1998,1280539
Wisconsin,Licensed drivers,1998,3709957
Wyoming,Licensed drivers,1998,359158
Alabama,Licensed drivers,1997,3387123
Alaska,Licensed drivers,1997,446247
Arizona,Licensed drivers,1997,3119537
Arkansas,Licensed drivers,1997,1878618
California,Licensed drivers,1997,20385245
Colorado,Licensed drivers,1997,2836339.48
Connecticut,Licensed drivers,1997,2270228
Delaware,Licensed drivers,1997,535712
District of Columbia,Licensed drivers,1997,356181
Florida,Licensed drivers,1997,11749244
Georgia,Licensed drivers,1997,5063191.786
Hawaii,Licensed drivers,1997,738865
Idaho,Licensed drivers,1997,843891
Illinois,Licensed drivers,1997,7691750
Indiana,Licensed drivers,1997,3923614
Iowa,Licensed drivers,1997,1952935
Kansas,Licensed drivers,1997,1824944
Kentucky,Licensed drivers,1997,2574662
Louisiana,Licensed drivers,1997,2677845
Maine,Licensed drivers,1997,900843.8378
Maryland,Licensed drivers,1997,3346622
Massachusetts,Licensed drivers,1997,4393429
Michigan,Licensed drivers,1997,6751267
Minnesota,Licensed drivers,1997,2839291
Mississippi,Licensed drivers,1997,1722513
Missouri,Licensed drivers,1997,3744320
Montana,Licensed drivers,1997,662418
Nebraska,Licensed drivers,1997,1178880
Nevada,Licensed drivers,1997,1186097
New Hampshire,Licensed drivers,1997,883064
New Jersey,Licensed drivers,1997,5576064
New Mexico,Licensed drivers,1997,1194284
New York,Licensed drivers,1997,10529855
North Carolina,Licensed drivers,1997,5399301
North Dakota,Licensed drivers,1997,452163
Ohio,Licensed drivers,1997,8185824
Oklahoma,Licensed drivers,1997,2278757
Oregon,Licensed drivers,1997,2276532.9
Pennsylvania,Licensed drivers,1997,8317715
Rhode Island,Licensed drivers,1997,680107
South Carolina,Licensed drivers,1997,2613102
South Dakota,Licensed drivers,1997,524182
Tennessee,Licensed drivers,1997,3929026
Texas,Licensed drivers,1997,12833603
Utah,Licensed drivers,1997,1357064
Vermont,Licensed drivers,1997,475389
Virginia,Licensed drivers,1997,4901088
Washington,Licensed drivers,1997,4009833
West Virginia,Licensed drivers,1997,1285158
Wisconsin,Licensed drivers,1997,3672469
Wyoming,Licensed drivers,1997,352770
Alabama,Licensed drivers,1996,3138237
Alaska,Licensed drivers,1996,439855
Arizona,Licensed drivers,1996,2727312
Arkansas,Licensed drivers,1996,1752229
California,Licensed drivers,1996,20249200
Colorado,Licensed drivers,1996,2756807
Connecticut,Licensed drivers,1996,2343779
Delaware,Licensed drivers,1996,529291
District of Columbia,Licensed drivers,1996,333445
Florida,Licensed drivers,1996,11399593
Georgia,Licensed drivers,1996,4966348
Hawaii,Licensed drivers,1996,733486
Idaho,Licensed drivers,1996,819713
Illinois,Licensed drivers,1996,7609618
Indiana,Licensed drivers,1996,3704156
Iowa,Licensed drivers,1996,1955601
Kansas,Licensed drivers,1996,1788259
Kentucky,Licensed drivers,1996,2566545
Louisiana,Licensed drivers,1996,2624131
Maine,Licensed drivers,1996,873713
Maryland,Licensed drivers,1996,3377470
Massachusetts,Licensed drivers,1996,4355014
Michigan,Licensed drivers,1996,6716789
Minnesota,Licensed drivers,1996,2830232
Mississippi,Licensed drivers,1996,1700132
Missouri,Licensed drivers,1996,3749348
Montana,Licensed drivers,1996,573754
Nebraska,Licensed drivers,1996,1159831
Nevada,Licensed drivers,1996,1116795
New Hampshire,Licensed drivers,1996,915451
New Jersey,Licensed drivers,1996,5485980
New Mexico,Licensed drivers,1996,1179256
New York,Licensed drivers,1996,10483665
North Carolina,Licensed drivers,1996,5187288
North Dakota,Licensed drivers,1996,449225
Ohio,Licensed drivers,1996,7852548
Oklahoma,Licensed drivers,1996,2395825
Oregon,Licensed drivers,1996,2612659
Pennsylvania,Licensed drivers,1996,8221143
Rhode Island,Licensed drivers,1996,668940
South Carolina,Licensed drivers,1996,2574575
South Dakota,Licensed drivers,1996,518592
Tennessee,Licensed drivers,1996,3805600
Texas,Licensed drivers,1996,12568265
Utah,Licensed drivers,1996,1319263
Vermont,Licensed drivers,1996,468863
Virginia,Licensed drivers,1996,4692071
Washington,Licensed drivers,1996,3908217
West Virginia,Licensed drivers,1996,1274453
Wisconsin,Licensed drivers,1996,3723685
Wyoming,Licensed drivers,1996,343093
Alabama,Licensed drivers,1995,3456100
Alaska,Licensed drivers,1995,434389
Arizona,Licensed drivers,1995,2626222
Arkansas,Licensed drivers,1995,1769012
California,Licensed drivers,1995,20139586
Colorado,Licensed drivers,1995,2727570
Connecticut,Licensed drivers,1995,2349051
Delaware,Licensed drivers,1995,524992
District of Columbia,Licensed drivers,1995,338549
Florida,Licensed drivers,1995,11024064
Georgia,Licensed drivers,1995,4840495
Hawaii,Licensed drivers,1995,732508
Idaho,Licensed drivers,1995,805911
Illinois,Licensed drivers,1995,7210972
Indiana,Licensed drivers,1995,3706182
Iowa,Licensed drivers,1995,1905450
Kansas,Licensed drivers,1995,1770786
Kentucky,Licensed drivers,1995,2535463
Louisiana,Licensed drivers,1995,2593509
Maine,Licensed drivers,1995,864447
Maryland,Licensed drivers,1995,3344125
Massachusetts,Licensed drivers,1995,4211029
Michigan,Licensed drivers,1995,6658750
Minnesota,Licensed drivers,1995,2761121
Mississippi,Licensed drivers,1995,1693159
Missouri,Licensed drivers,1995,3587086
Montana,Licensed drivers,1995,573749
Nebraska,Licensed drivers,1995,1151764
Nevada,Licensed drivers,1995,1044609
New Hampshire,Licensed drivers,1995,901104
New Jersey,Licensed drivers,1995,5403671
New Mexico,Licensed drivers,1995,1173442
New York,Licensed drivers,1995,10473731
North Carolina,Licensed drivers,1995,5028421
North Dakota,Licensed drivers,1995,448781
Ohio,Licensed drivers,1995,7772757
Oklahoma,Licensed drivers,1995,2155558
Oregon,Licensed drivers,1995,2541873
Pennsylvania,Licensed drivers,1995,8154055
Rhode Island,Licensed drivers,1995,670360
South Carolina,Licensed drivers,1995,2542139
South Dakota,Licensed drivers,1995,515869
Tennessee,Licensed drivers,1995,3739043
Texas,Licensed drivers,1995,12369243
Utah,Licensed drivers,1995,1255460
Vermont,Licensed drivers,1995,455606
Virginia,Licensed drivers,1995,4628886
Washington,Licensed drivers,1995,3765376
West Virginia,Licensed drivers,1995,1304539
Wisconsin,Licensed drivers,1995,3601619
Wyoming,Licensed drivers,1995,346299
Alabama,Licensed drivers,1994,2860724
Alaska,Licensed drivers,1994,435677
Arizona,Licensed drivers,1994,2849304
Arkansas,Licensed drivers,1994,1768394
California,Licensed drivers,1994,20156177
Colorado,Licensed drivers,1994,2732682
Connecticut,Licensed drivers,1994,2318543
Delaware,Licensed drivers,1994,513406
District of Columbia,Licensed drivers,1994,361854
Florida,Licensed drivers,1994,11005438
Georgia,Licensed drivers,1994,4816618
Hawaii,Licensed drivers,1994,745392
Idaho,Licensed drivers,1994,800513
Illinois,Licensed drivers,1994,7502201
Indiana,Licensed drivers,1994,3860329
Iowa,Licensed drivers,1994,1896518
Kansas,Licensed drivers,1994,1771566
Kentucky,Licensed drivers,1994,2516408
Louisiana,Licensed drivers,1994,2594615
Maine,Licensed drivers,1994,913597
Maryland,Licensed drivers,1994,3308006
Massachusetts,Licensed drivers,1994,4471529
Michigan,Licensed drivers,1994,6601924
Minnesota,Licensed drivers,1994,2705701
Mississippi,Licensed drivers,1994,1671690
Missouri,Licensed drivers,1994,3382046
Montana,Licensed drivers,1994,525780
Nebraska,Licensed drivers,1994,1146447
Nevada,Licensed drivers,1994,1007191
New Hampshire,Licensed drivers,1994,877471
New Jersey,Licensed drivers,1994,5433383
New Mexico,Licensed drivers,1994,1167462
New York,Licensed drivers,1994,10376615
North Carolina,Licensed drivers,1994,4840104
North Dakota,Licensed drivers,1994,439330
Ohio,Licensed drivers,1994,7142173
Oklahoma,Licensed drivers,1994,2343555
Oregon,Licensed drivers,1994,2542681
Pennsylvania,Licensed drivers,1994,8115074
Rhode Island,Licensed drivers,1994,688399.02
South Carolina,Licensed drivers,1994,2492019
South Dakota,Licensed drivers,1994,508076
Tennessee,Licensed drivers,1994,3825671
Texas,Licensed drivers,1994,12109960
Utah,Licensed drivers,1994,1245205
Vermont,Licensed drivers,1994,445576
Virginia,Licensed drivers,1994,4601235
Washington,Licensed drivers,1994,3775019
West Virginia,Licensed drivers,1994,1298478
Wisconsin,Licensed drivers,1994,3554003
Wyoming,Licensed drivers,1994,341706
Alabama,Licensed drivers,1993,3008575
Alaska,Licensed drivers,1993,437696
Arizona,Licensed drivers,1993,2623680
Arkansas,Licensed drivers,1993,1750765
California,Licensed drivers,1993,20123481
Colorado,Licensed drivers,1993,2591011
Connecticut,Licensed drivers,1993,2180314
Delaware,Licensed drivers,1993,506274
District of Columbia,Licensed drivers,1993,361068
Florida,Licensed drivers,1993,10762041
Georgia,Licensed drivers,1993,4613295
Hawaii,Licensed drivers,1993,734381
Idaho,Licensed drivers,1993,770403
Illinois,Licensed drivers,1993,7462158
Indiana,Licensed drivers,1993,3790781
Iowa,Licensed drivers,1993,1899430
Kansas,Licensed drivers,1993,1774036
Kentucky,Licensed drivers,1993,2468992
Louisiana,Licensed drivers,1993,2576701
Maine,Licensed drivers,1993,905533
Maryland,Licensed drivers,1993,3274392
Massachusetts,Licensed drivers,1993,4161137
Michigan,Licensed drivers,1993,6527401
Minnesota,Licensed drivers,1993,2637458
Mississippi,Licensed drivers,1993,1640301
Missouri,Licensed drivers,1993,3472140
Montana,Licensed drivers,1993,530744
Nebraska,Licensed drivers,1993,1141134
Nevada,Licensed drivers,1993,976214
New Hampshire,Licensed drivers,1993,868560
New Jersey,Licensed drivers,1993,5458841
New Mexico,Licensed drivers,1993,1148230
New York,Licensed drivers,1993,10326635
North Carolina,Licensed drivers,1993,4724661
North Dakota,Licensed drivers,1993,437942
Ohio,Licensed drivers,1993,7634742
Oklahoma,Licensed drivers,1993,2336410
Oregon,Licensed drivers,1993,2373138
Pennsylvania,Licensed drivers,1993,8054636
Rhode Island,Licensed drivers,1993,674901
South Carolina,Licensed drivers,1993,2430511
South Dakota,Licensed drivers,1993,506558
Tennessee,Licensed drivers,1993,3542531
Texas,Licensed drivers,1993,11876268
Utah,Licensed drivers,1993,1189593
Vermont,Licensed drivers,1993,430538
Virginia,Licensed drivers,1993,4579666
Washington,Licensed drivers,1993,3698920
West Virginia,Licensed drivers,1993,1302081
Wisconsin,Licensed drivers,1993,3502341
Wyoming,Licensed drivers,1993,350074
Alabama,Licensed drivers,1992,2977311
Alaska,Licensed drivers,1992,405100
Arizona,Licensed drivers,1992,2505887
