State,Measures,Year,Values
Oklahoma,Licensed drivers,2017,2505989
Oregon,Licensed drivers,2017,2910592
Pennsylvania,Licensed drivers,2017,8964855
Rhode Island,Licensed drivers,2017,753202
South Carolina,Licensed drivers,2017,3810962
South Dakota,Licensed drivers,2017,628506
Tennessee,Licensed drivers,2017,5377653
Texas,Licensed drivers,2017,17099340
Utah,Licensed drivers,2017,1995377
Vermont,Licensed drivers,2017,560247
Virginia,Licensed drivers,2017,5926430
Washington,Licensed drivers,2017,5768281
West Virginia,Licensed drivers,2017,1148786
Wisconsin,Licensed drivers,2017,4234793
Wyoming,Licensed drivers,2017,422465
Alabama,Licensed drivers,2016,3943082
Alaska,Licensed drivers,2016,534585
Arizona,Licensed drivers,2016,5082305
Arkansas,Licensed drivers,2016,2391103
California,Licensed drivers,2016,26199436
Colorado,Licensed drivers,2016,4066580
Connecticut,Licensed drivers,2016,2611007
Delaware,Licensed drivers,2016,756328
District of Columbia,Licensed drivers,2016,489831
Florida,Licensed drivers,2016,14675160
Georgia,Licensed drivers,2016,6975900
Hawaii,Licensed drivers,2016,931703
Idaho,Licensed drivers,2016,1160922
Illinois,Licensed drivers,2016,8514644
Indiana,Licensed drivers,2016,4553259
Iowa,Licensed drivers,2016,2245640
Kansas,Licensed drivers,2016,2030025
Kentucky,Licensed drivers,2016,3031447
Louisiana,Licensed drivers,2016,3395095
Maine,Licensed drivers,2016,1021332
Maryland,Licensed drivers,2016,4264875
Massachusetts,Licensed drivers,2016,5040662
Michigan,Licensed drivers,2016,7074674
Minnesota,Licensed drivers,2016,3377910
Mississippi,Licensed drivers,2016,2018862
Missouri,Licensed drivers,2016,4249579
Montana,Licensed drivers,2016,797145
Nebraska,Licensed drivers,2016,1404479
Nevada,Licensed drivers,2016,1872376
New Hampshire,Licensed drivers,2016,1096234
New Jersey,Licensed drivers,2016,6238436
New Mexico,Licensed drivers,2016,1521785
New York,Licensed drivers,2016,11947568
North Carolina,Licensed drivers,2016,7267042
North Dakota,Licensed drivers,2016,555935
Ohio,Licensed drivers,2016,7974951
Oklahoma,Licensed drivers,2016,2498178
Oregon,Licensed drivers,2016,2855746
Pennsylvania,Licensed drivers,2016,8996815
Rhode Island,Licensed drivers,2016,753143
South Carolina,Licensed drivers,2016,3746681
South Dakota,Licensed drivers,2016,622663
Tennessee,Licensed drivers,2016,5197904
Texas,Licensed drivers,2016,15879876
Utah,Licensed drivers,2016,1960366
Vermont,Licensed drivers,2016,553670
Virginia,Licensed drivers,2016,5912048
Washington,Licensed drivers,2016,5635715
West Virginia,Licensed drivers,2016,1159348
Wisconsin,Licensed drivers,2016,4206770
Wyoming,Licensed drivers,2016,421098
Alabama,Licensed drivers,2015,3907038
Alaska,Licensed drivers,2015,533227
Arizona,Licensed drivers,2015,4978762
Arkansas,Licensed drivers,2015,2119578
California,Licensed drivers,2015,25532920
Colorado,Licensed drivers,2015,3974521
Connecticut,Licensed drivers,2015,2566673
Delaware,Licensed drivers,2015,742524
District of Columbia,Licensed drivers,2015,455602
Florida,Licensed drivers,2015,14262715
Georgia,Licensed drivers,2015,6906191
Hawaii,Licensed drivers,2015,909797
Idaho,Licensed drivers,2015,1135009
Illinois,Licensed drivers,2015,8462193
Indiana,Licensed drivers,2015,4467848
Iowa,Licensed drivers,2015,2224130
Kansas,Licensed drivers,2015,2028657
Kentucky,Licensed drivers,2015,3021266
