YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1990,1,10001,1,4,4,2,1,1,3,4,1,3,1984,2,2
1990,1,10002,1,2,2,2,1,1,3,4,1,3,1979,2,2
1990,1,10003,6,4,4,2,1,1,3,4,2,3,1988,2,2
1990,2,10003,1,2,2,2,1,1,3,4,2,3,1981,2,2
1990,1,10004,1,5,5,2,1,1,3,4,2,3,1987,2,2
1990,2,10004,6,2,2,2,2,2,3,4,2,3,1973,2,2
1990,1,10005,4,2,2,2,1,1,3,4,1,3,1986,2,2
1990,2,10005,2,2,2,2,1,1,3,4,2,3,1985,2,2
1990,3,10005,1,2,2,2,1,1,3,4,2,3,1989,2,2
1990,1,10006,2,2,2,2,1,1,3,4,2,3,1972,2,2
1990,2,10006,1,2,2,2,1,1,3,4,2,3,1986,2,2
1990,1,10007,1,2,2,2,1,1,3,4,2,3,1972,2,2
1990,1,10008,1,1,1,1,2,2,3,4,2,3,1987,2,2
1990,1,10009,2,2,2,2,1,1,3,4,2,3,1986,2,2
1990,1,10010,1,2,2,2,1,1,3,4,2,3,1989,2,2
1990,1,10011,2,4,4,2,1,1,3,4,1,3,1982,2,2
1990,1,10012,6,5,5,2,1,1,3,4,2,3,1988,2,2
1990,2,10012,1,2,2,2,1,1,3,4,2,3,1964,2,2
1990,1,10013,2,2,2,1,1,1,3,4,2,3,1971,2,2
1990,1,10014,2,1,1,1,1,1,3,4,2,3,1985,2,2
1990,1,10015,1,2,2,1,1,1,3,4,2,3,1978,2,2
1990,1,10016,1,2,2,2,1,1,3,4,2,3,1975,2,2
1990,1,10017,1,5,5,2,1,1,3,4,2,3,1974,2,2
1990,2,10017,1,2,2,2,1,1,3,4,2,3,1978,2,2
1990,1,10018,2,2,2,2,1,1,3,4,1,3,1975,2,2
1990,1,10019,6,1,1,1,1,1,3,4,1,3,1973,2,2
1990,1,10020,1,2,2,2,1,1,3,4,1,3,1986,2,2
1990,1,10021,2,2,2,2,1,1,3,4,2,3,1984,2,2
1990,2,10021,1,2,2,2,1,1,3,4,2,3,1984,2,2
1990,1,10022,1,6,6,2,1,1,3,4,1,3,1983,2,2
