ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1991,0,0,0,0,0,0,0,0,0,0
10002,1991,14,0,0,0,15,0,0,5,0,0
10003,1991,16,16,16,16,16,16,16,16,16,16
10004,1991,31,31,31,31,31,31,31,31,31,31
10005,1991,37,37,37,37,37,37,37,37,37,37
10006,1991,10,13,28,11,12,8,14,18,26,18
10007,1991,0,0,0,0,0,0,0,0,0,0
10008,1991,3,3,3,3,3,3,3,3,3,3
10009,1991,0,17,36,21,22,30,3,25,4,17
10010,1991,28,0,21,18,30,11,13,9,17,15
10011,1991,32,32,32,32,32,32,32,32,32,32
10012,1991,27,16,9,40,22,20,19,22,31,7
10013,1991,26,26,26,26,26,26,26,26,26,26
10014,1991,15,15,15,15,15,15,18,15,15,15
10015,1991,0,0,0,0,0,0,0,0,0,0
10016,1991,8,18,9,3,9,9,17,23,7,18
10017,1991,5,6,17,19,17,8,4,0,5,21
10018,1991,7,0,0,0,0,0,0,0,0,0
10019,1991,0,0,15,0,0,0,0,0,0,0
10020,1991,0,0,0,0,0,0,0,0,0,0
10021,1991,16,16,16,16,16,16,16,16,16,16
10022,1991,0,0,0,0,0,26,0,0,0,0
10023,1991,0,0,0,0,0,0,0,0,0,0
10024,1991,0,0,10,15,0,0,8,18,0,0
10025,1991,0,0,0,0,5,0,17,0,0,16
10026,1991,0,0,0,0,0,0,0,0,0,0
10027,1991,33,23,10,13,26,12,0,22,0,32
10028,1991,14,7,0,0,0,0,0,0,0,2
10029,1991,13,13,13,13,13,13,13,13,13,13
10030,1991,23,0,0,0,0,11,0,0,8,16
10031,1991,0,0,0,0,0,0,0,0,0,0
10032,1991,11,14,5,17,16,30,10,15,11,4
10033,1991,26,26,26,26,26,26,26,26,26,26
10034,1991,17,17,17,17,17,17,17,17,17,17
10035,1991,30,30,21,16,24,31,18,16,22,12
10036,1991,36,33,31,20,24,20,24,26,36,24
10038,1991,0,0,0,0,0,0,0,0,0,0
10039,1991,0,0,0,0,0,0,0,0,0,0
10040,1991,0,0,0,0,0,0,0,0,0,0
10041,1991,10,19,25,17,0,0,12,0,24,19
10042,1991,0,0,0,0,0,0,0,0,0,0
10043,1991,13,0,0,26,17,3,0,0,20,14
10044,1991,8,11,17,18,28,13,5,9,14,22
10045,1991,0,0,22,8,0,0,33,0,35,0
10046,1991,0,0,0,0,0,0,22,0,0,0
10047,1991,0,0,0,0,0,0,0,0,0,0
10048,1991,25,25,25,25,25,25,25,25,25,25
10050,1991,22,19,19,8,27,25,18,23,31,27
10051,1991,23,0,0,0,0,0,0,0,0,0
10052,1991,0,0,0,0,0,0,0,0,0,0
10053,1991,30,18,16,19,8,12,23,9,12,14
10054,1991,21,21,21,21,21,21,21,21,21,21
10055,1991,22,22,22,22,22,22,22,22,22,22
10056,1991,0,0,0,0,0,0,3,0,0,0
10057,1991,5,5,5,5,5,5,5,5,5,5
10058,1991,14,0,15,0,13,0,0,7,39,0
10059,1991,24,24,24,24,24,24,24,24,24,24
10061,1991,0,0,0,0,0,0,14,0,0,5
10062,1991,0,0,0,0,0,0,0,0,0,0
10063,1991,18,18,18,18,18,18,18,18,18,18
10064,1991,0,0,0,0,0,0,0,0,0,0
10065,1991,26,25,0,15,21,0,15,27,7,28
10066,1991,0,0,0,0,0,0,0,0,0,0
10067,1991,0,0,0,0,0,0,0,0,0,0
10068,1991,0,18,21,30,11,19,18,12,15,26
10069,1991,19,12,0,0,0,0,18,14,0,3
10070,1991,0,0,0,0,0,0,0,0,0,0
10071,1991,0,17,0,5,18,20,25,0,0,0
10072,1991,0,0,0,0,0,0,0,0,0,0
10073,1991,5,5,5,5,5,5,5,5,5,5
10074,1991,30,19,20,23,30,21,25,29,37,14
10075,1991,28,28,28,28,28,28,28,28,28,28
10076,1991,0,0,0,0,0,0,0,0,0,0
10077,1991,11,26,0,9,19,8,12,10,15,11
10078,1991,0,0,0,0,12,0,0,22,0,0
10079,1991,0,0,0,11,0,0,0,0,0,0
10080,1991,0,0,0,0,0,0,0,0,0,0
10081,1991,0,0,0,0,0,0,0,21,0,0
10082,1991,14,17,0,0,0,0,0,0,0,0
10083,1991,0,0,0,0,0,0,0,0,0,0
10084,1991,15,0,5,34,0,0,19,0,19,0
10085,1991,18,14,32,15,15,35,22,25,20,26
10086,1991,31,31,31,31,31,31,31,31,31,31
10087,1991,0,0,0,0,0,0,0,0,0,0
10088,1991,0,0,22,0,7,15,16,0,9,0
10089,1991,21,21,21,21,21,21,21,21,21,21
10090,1991,29,29,29,29,29,29,29,29,29,29
10091,1991,0,0,0,0,0,0,0,0,0,0
10092,1991,0,0,0,0,0,0,0,0,0,0
10093,1991,20,20,20,20,20,20,20,20,20,20
10094,1991,0,0,0,0,0,0,0,0,0,0
10095,1991,20,20,20,20,20,20,20,20,20,20
10096,1991,0,0,0,0,0,0,0,0,0,0
10097,1991,22,13,9,39,9,13,20,9,5,14
10098,1991,0,0,0,0,0,0,0,0,0,0
10099,1991,0,0,14,0,0,0,0,5,0,0
10100,1991,11,11,11,11,11,11,11,11,11,11
10101,1991,19,0,21,0,0,0,9,14,0,0
10102,1991,19,10,18,8,22,6,21,17,12,8
10103,1991,16,16,16,16,16,16,16,16,16,16
10104,1991,9,19,0,24,38,0,17,27,0,0
10105,1991,0,0,0,0,0,0,0,0,0,0
