ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10065,1,1,1991,26,25,0,15,21,0,15,27,7,28
10066,1,1,1991,0,0,0,0,0,0,0,0,0,0
10066,2,1,1991,0,0,0,0,0,0,0,0,0,0
10067,1,1,1991,0,0,0,0,0,0,0,0,0,0
10067,2,1,1991,0,0,0,0,0,0,0,0,0,0
10068,1,1,1991,0,18,21,30,11,19,18,12,15,26
10069,1,1,1991,19,12,0,0,0,0,18,14,0,3
10070,1,1,1991,0,0,0,0,0,0,0,0,0,0
10071,1,1,1991,0,0,0,0,0,0,0,0,0,0
10071,2,1,1991,0,17,0,5,18,20,25,0,0,0
10072,1,1,1991,0,0,0,0,0,0,0,0,0,0
10072,2,1,1991,0,0,0,0,0,0,0,0,0,0
10073,1,1,1991,0,0,0,0,0,0,0,0,0,0
10073,2,1,1991,5,5,5,5,5,5,5,5,5,5
10074,1,1,1991,30,19,20,23,30,21,25,29,37,14
10075,0,1,1991,28,28,28,28,28,28,28,28,28,28
10075,1,1,1991,0,0,0,0,0,0,0,0,4,0
10076,1,1,1991,0,0,0,0,0,0,0,0,0,0
10076,2,1,1991,0,0,0,0,0,0,0,0,0,0
10077,1,1,1991,11,26,0,9,19,8,12,10,15,11
10078,1,1,1991,0,0,0,0,12,0,0,22,0,0
10078,2,1,1991,0,0,0,0,12,0,0,0,0,0
10079,1,1,1991,0,0,0,11,0,0,0,0,0,0
10079,2,1,1991,0,0,0,0,0,0,0,0,0,0
10080,0,1,1991,0,0,0,0,0,0,0,0,0,0
10080,1,1,1991,0,0,0,0,0,0,0,0,0,0
10081,1,1,1991,0,0,0,0,0,0,0,21,0,0
10081,2,1,1991,0,0,0,0,0,0,0,0,0,0
10082,1,1,1991,0,0,0,0,0,0,0,0,0,0
10082,2,1,1991,14,17,0,0,0,0,0,0,0,0
10083,1,1,1991,0,0,0,0,0,0,0,0,0,0
10084,1,1,1991,15,0,5,34,0,0,19,0,19,0
10085,1,1,1991,18,14,32,15,15,35,22,25,20,26
10085,2,1,1991,0,0,0,0,0,0,0,0,0,0
10086,1,1,1991,31,31,31,31,31,31,31,31,31,31
10087,1,1,1991,0,0,0,0,0,0,0,0,0,0
10088,0,1,1991,0,0,22,0,7,15,16,0,9,0
10088,1,1,1991,0,0,0,0,0,0,0,0,0,0
10089,1,1,1991,21,21,21,21,21,21,21,21,21,21
10090,1,1,1991,29,29,29,29,29,29,29,29,29,29
10091,1,1,1991,0,0,0,0,0,0,0,0,0,0
10092,1,1,1991,0,0,0,0,0,0,0,0,0,0
10092,2,1,1991,0,0,0,0,0,0,0,0,0,0
10093,1,1,1991,20,20,20,20,20,20,20,20,20,20
10094,1,1,1991,0,0,0,0,0,0,0,0,0,0
10094,2,1,1991,0,0,0,0,0,0,0,0,0,0
10095,1,1,1991,20,20,20,20,20,20,20,20,20,20
10095,2,1,1991,0,0,0,0,0,0,0,0,0,0
10096,1,1,1991,0,0,0,0,0,0,0,0,0,0
10096,2,1,1991,0,0,0,0,0,0,0,0,0,0
10096,3,1,1991,0,0,0,0,0,0,0,0,0,0
10097,1,1,1991,22,13,9,39,9,13,20,9,5,14
10098,1,1,1991,0,0,0,0,0,0,0,0,0,0
10098,2,1,1991,0,0,0,0,0,0,0,0,0,0
10099,1,1,1991,0,0,14,0,0,0,0,5,0,0
10099,2,1,1991,0,0,0,0,0,0,0,0,0,0
10100,1,1,1991,11,11,11,11,11,11,11,11,11,11
10100,2,1,1991,0,0,0,0,0,0,0,11,0,0
10101,1,1,1991,19,0,21,0,0,0,9,14,0,0
10102,1,1,1991,19,10,18,8,22,6,21,17,12,8
10103,1,1,1991,16,16,16,16,16,16,16,16,16,16
10104,0,1,1991,9,19,0,24,38,0,17,27,0,0
10104,1,1,1991,0,0,0,0,0,0,0,0,0,0
10105,0,1,1991,0,0,0,0,0,0,0,0,0,0
10105,1,1,1991,0,0,0,0,0,0,0,0,0,0
10106,1,1,1991,0,0,0,0,0,0,0,0,0,0
10106,2,1,1991,0,0,0,0,0,0,0,0,0,0
10107,0,1,1991,0,0,0,0,0,0,0,0,0,0
10107,1,1,1991,0,0,0,0,0,0,0,0,0,0
10108,1,1,1991,20,20,20,20,20,20,20,20,20,20
10109,1,1,1991,0,21,0,0,0,0,0,0,0,0
10109,2,1,1991,25,25,25,25,25,25,25,25,25,25
10110,1,1,1991,0,0,0,0,0,0,0,0,0,0
10110,2,1,1991,11,0,0,0,0,0,0,0,0,0
10111,1,1,1991,0,0,0,0,0,0,0,0,0,0
10111,2,1,1991,13,13,13,13,13,13,13,13,13,13
10112,1,1,1991,0,0,0,0,0,0,0,0,0,0
10112,2,1,1991,0,0,0,0,0,0,0,0,0,0
10113,0,1,1991,0,0,0,0,0,0,0,0,19,0
10113,0,2,1991,0,0,0,0,0,0,0,0,0,0
10113,1,1,1991,8,8,8,8,8,8,8,8,8,8
10114,1,1,1991,0,35,0,0,0,16,0,0,0,0
10114,2,1,1991,0,0,0,0,0,0,0,0,0,0
10115,1,1,1991,0,0,0,0,0,0,0,0,0,0
10115,2,1,1991,5,5,5,5,5,5,5,5,5,5
10116,1,1,1991,10,0,0,0,0,0,0,0,0,0
10116,2,1,1991,0,0,0,13,0,0,0,0,16,0
10118,0,1,1991,17,0,12,35,0,0,0,18,24,14
10118,1,1,1991,0,0,0,0,0,0,0,0,0,0
10119,1,1,1991,0,0,0,0,0,4,0,0,0,22
10119,2,1,1991,12,12,12,12,12,12,12,12,12,12
10120,1,1,1991,20,20,20,20,20,20,20,20,20,20
10120,2,1,1991,0,0,0,0,0,0,0,17,0,0
10120,3,1,1991,0,0,0,0,0,0,0,0,0,0
10121,1,1,1991,9,9,9,9,9,9,9,9,9,9
10121,2,1,1991,0,0,0,0,0,0,0,0,0,0
10122,1,1,1991,0,0,0,0,0,0,0,0,0,0
10123,1,1,1991,6,6,6,6,6,6,6,6,6,6
10124,1,1,1991,0,0,0,0,0,0,0,0,0,0
10125,1,1,1991,6,6,6,6,6,6,6,6,6,6
10126,1,1,1991,23,21,21,10,18,17,38,26,29,28
10127,1,1,1991,17,17,15,2,24,29,32,25,17,27
10128,1,1,1991,0,0,0,0,0,0,0,0,0,0
10128,2,1,1991,8,0,0,0,0,0,0,0,0,0
10129,1,1,1991,0,0,0,0,0,0,0,0,0,0
10129,2,1,1991,0,0,0,0,0,0,0,0,0,0
10130,1,1,1991,27,27,27,27,27,27,27,27,27,27
10130,2,1,1991,0,0,0,0,0,0,0,0,0,0
10130,3,1,1991,0,0,0,0,0,0,0,0,0,6
10131,1,1,1991,20,27,25,13,37,26,23,11,12,22
10132,1,1,1991,23,0,0,8,0,11,33,0,0,0
10133,1,1,1991,0,0,0,26,24,0,0,0,0,0
10133,2,1,1991,0,0,0,0,0,0,0,0,0,0
10135,0,1,1991,5,5,5,5,5,5,5,5,5,5
10135,1,1,1991,25,25,25,25,25,25,25,25,25,25
10135,2,1,1991,0,0,0,0,0,0,12,0,0,0
10136,1,1,1991,0,0,0,0,2,0,0,0,0,0
10136,2,1,1991,30,0,25,0,9,0,0,0,0,0
10137,1,1,1991,0,0,0,0,0,0,0,0,0,0
10138,1,1,1991,13,13,13,13,13,13,13,13,13,13
10138,2,1,1991,0,0,0,0,0,0,0,0,0,0
10139,0,1,1991,0,0,0,0,0,0,0,0,0,0
10139,1,1,1991,0,25,11,0,12,3,0,7,25,0
10140,1,1,1991,17,17,6,25,10,8,0,12,22,14
10141,1,1,1991,0,0,0,0,0,0,0,0,0,0
10141,2,1,1991,0,0,0,0,0,0,0,0,0,0
10141,3,1,1991,0,0,0,0,0,0,0,0,0,0
10142,0,1,1991,0,0,0,0,0,0,0,0,0,0
10142,1,1,1991,0,0,0,0,0,0,0,0,0,0
10143,1,1,1991,0,0,0,11,0,0,0,0,0,0
10143,2,1,1991,0,0,0,0,0,0,0,0,0,0
10144,0,1,1991,0,0,0,0,0,0,0,0,0,0
10144,1,1,1991,0,0,0,0,0,0,0,0,0,0
10145,1,1,1991,34,18,7,21,32,31,17,2,26,13
10146,1,1,1991,0,15,15,11,8,35,15,23,3,22
10147,1,1,1991,0,0,0,0,0,0,0,0,0,0
10148,1,1,1991,0,0,0,0,6,0,24,0,0,0
10149,1,1,1991,0,0,0,0,0,0,5,0,0,0
10150,1,1,1991,0,0,0,0,0,0,0,0,0,0
10150,2,1,1991,0,0,0,0,0,0,0,0,0,0
10150,3,1,1991,0,0,0,0,0,0,0,0,0,0
10151,1,1,1991,17,24,29,17,17,25,14,26,29,25
10152,0,1,1991,0,0,0,0,0,0,0,0,0,0
10152,1,1,1991,0,0,0,0,0,0,0,0,0,0
10153,1,1,1991,23,6,3,2,23,7,10,6,10,31
10154,1,1,1991,29,29,29,29,29,29,29,29,29,29
10155,1,1,1991,0,34,23,0,33,13,0,9,18,0
10156,1,1,1991,26,0,0,0,0,0,0,0,0,0
10156,2,1,1991,0,0,0,0,0,0,0,0,0,0
10156,3,1,1991,0,0,0,0,6,0,0,0,0,13
10157,1,1,1991,25,0,16,20,6,0,11,0,17,0
10158,1,1,1991,15,13,19,33,21,38,27,13,25,18
10159,1,1,1991,8,18,26,8,20,25,22,21,25,19
10160,1,1,1991,0,0,0,0,0,0,21,0,0,0
10161,1,1,1991,0,0,0,0,0,4,0,0,0,0
10162,1,1,1991,0,0,0,0,0,0,0,0,0,0
10163,0,1,1991,0,0,0,0,0,0,0,0,0,0
10163,1,1,1991,0,0,0,0,6,0,0,0,3,0
10164,1,1,1991,21,22,27,26,17,23,24,30,14,0
10165,1,1,1991,0,0,0,0,0,0,0,0,0,0
10166,1,1,1991,0,0,0,0,0,0,0,0,0,0
10167,1,1,1991,8,8,8,8,8,8,8,8,8,8
10167,2,1,1991,0,0,0,0,0,0,0,0,0,0
10168,1,1,1991,0,0,0,0,0,0,0,0,0,0
10169,1,1,1991,46,46,46,46,46,46,46,46,46,46
10170,1,1,1991,0,0,0,0,0,0,4,0,0,0
10171,1,1,1991,25,25,25,25,25,25,25,25,25,25
10171,2,1,1991,0,0,0,0,0,0,0,0,0,0
10172,1,1,1991,0,0,0,0,0,26,0,0,16,27
10173,1,1,1991,31,37,19,17,20,23,26,17,20,29
10174,1,1,1991,0,0,0,0,0,0,0,0,0,0
10174,2,1,1991,12,0,0,0,0,0,0,0,0,16
10175,1,1,1991,0,0,0,0,0,0,0,0,0,0
10175,2,1,1991,0,0,0,0,0,0,0,0,0,0
10176,1,1,1991,0,0,0,0,0,0,0,0,0,0
10177,1,1,1991,0,0,0,0,0,0,0,0,0,0
10178,1,1,1991,7,14,0,0,13,0,12,10,5,6
10179,1,1,1991,0,0,0,0,0,14,0,0,0,0
10179,2,1,1991,0,0,0,0,0,0,0,0,0,0
10180,1,1,1991,0,0,0,0,0,0,0,0,0,0
10180,2,1,1991,0,0,0,0,0,0,0,0,0,0
10181,1,1,1991,3,3,3,3,3,3,3,3,3,3
10182,1,1,1991,0,0,0,0,0,0,0,0,0,0
10183,1,1,1991,31,31,31,31,31,31,31,31,31,31
10183,2,1,1991,0,0,0,0,0,0,0,0,0,0
10184,1,1,1991,0,0,0,0,0,0,0,0,0,0
10184,2,1,1991,0,0,0,0,0,0,0,0,0,0
