YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1991,1,10001,6,1,1,1,1,1,3,4,2,3,1989,2,1
1991,1,10002,1,2,2,2,1,1,3,4,2,3,1976,2,2
1991,2,10002,1,4,4,2,1,1,3,4,2,3,1985,2,2
1991,3,10002,2,2,2,2,1,1,3,4,2,3,1989,2,2
1991,4,10002,1,2,2,2,1,1,3,4,2,3,1987,2,2
1991,5,10002,4,2,2,2,1,1,3,4,2,3,1989,2,2
1991,1,10003,1,2,2,2,2,2,3,4,1,3,1981,2,2
1991,1,10004,1,2,2,2,2,2,3,4,1,3,1976,2,2
1991,1,10005,6,2,2,2,1,1,3,4,2,3,1984,2,2
1991,2,10005,1,2,2,2,1,1,3,4,1,3,1988,2,2
1991,1,10006,1,2,2,2,2,2,3,4,1,3,1978,2,2
1991,1,10007,6,2,2,2,1,1,3,4,2,3,1982,2,2
1991,2,10007,1,2,2,2,1,1,3,4,2,3,1989,2,2
1991,1,10008,1,3,3,2,2,2,3,4,2,3,1984,2,2
1991,1,10009,1,2,2,2,1,1,3,4,1,3,1987,2,2
1991,1,10010,1,1,1,1,1,1,3,4,2,3,1990,2,2
1991,1,10011,1,2,2,2,1,1,3,4,2,3,1976,2,2
1991,2,10011,1,2,2,2,1,1,3,4,2,3,1991,2,2
1991,1,10012,2,2,2,1,1,1,3,4,2,3,1984,2,2
1991,1,10013,1,2,2,2,1,1,3,4,2,3,1973,2,2
1991,1,10014,1,2,2,2,1,1,3,4,2,3,1977,2,2
1991,2,10014,2,2,2,2,1,1,3,4,2,3,1987,2,2
1991,1,10015,6,1,1,1,1,1,3,4,2,3,1987,2,2
1991,1,10016,2,2,2,2,2,2,3,4,2,3,1978,2,2
1991,2,10016,3,3,3,2,1,1,3,4,2,3,1989,2,2
1991,1,10017,3,2,2,2,2,2,3,4,2,3,1989,2,2
1991,2,10017,1,2,2,2,1,1,3,4,2,3,1988,2,2
1991,1,10018,1,2,2,2,1,1,3,4,2,3,1991,2,1
1991,1,10019,1,4,4,2,1,1,3,4,2,3,1974,2,2
